,label,no_stop_words
34,0,"['’', 'true', '\u200d♂️', 'bestsel', 'magic', 'monthli', 'harri', 'potter', 'box', 'back', 'stock', 'end', 'month', 'monthli', 'mysteri', 'box', 'contain', 'favorit', 'wand', 'collect', 'replica', 'harri', 'potter', 'seri', 'geekgear', 'wizardri', 'box', 'pack', 'exclus', 'licens', 'merchandis', 'favorit', 'univers', 'promis', 'valu', '£50', '63', 'per', 'box', 'alway', 'receiv', 'follow', 'month', '1', 'x', 'awesom', 'tshirt', '1', 'x', 'exclus', 'print', '4', 'amaz', 'product', 'immers', 'lore', 'let', 'imagin', 'run', 'wild', 'extend', 'magic', 'realworld', '⏱', 'limit', 'time', 'claim', '10', 'first', 'box', 'use', 'code', 'geekgear10', 'checkout', 'hogwart', 'accept', 'letter', 'await', 'click', 'button', 'shop']"
35,0,"['perfect', 'gift', 'everi', 'snack', 'lover', 'list']"
36,0,"['blood', 'type', 'find', 'free', 'blood', 'type', 'analysi', 'app']"
37,1,"['america', 'attack', 'homegrown', 'white', 'nationalist', 'terror', 'ideolog', 'evil', 'condon', 'highest', 'level', 'govern', 'today', 'inspir', 'gunman', 'claim', 'least', '20', 'live', 'el', 'paso', 'enough', 'enough', 'oblig', 'act']"
38,1,"['women', 'still', 'left', 'underrecogn', 'medic', 'field', 'strive', 'fix', 'help', 'women', 'stand', 'support', 'effort', 'build', 'histori', 'women', 'medicin', 'amp', 'leav', 'mark', 'legaci']"
39,0,"['code', 'blueblanket', 'homeless', 'soupmobil', 'call', 'code', 'blue', 'typic', 'call', '‘', 'code', 'blue', '’', 'whenev', 'dalla', 'get', 'hit', 'hard', 'cold', 'front', 'temp', 'next', 'week', 'approach', 'record', 'low', 'desper', 'need', 'blanket', 'homeless', 'mission', '‘', 'decid', 'accept', '’', 'grab', 'everi', 'blanket', 'find', 'new', 'use', 'bring', 'soupmobil', 'mani', 'blanket', 'want', 'magic', 'number', '10000', 'big', 'number', 'say', 'we…']"
40,1,"['adam', 'laxalt', 'oppos', 'afford', 'care', 'act', 'could', 'take', 'healthcar', 'away', 'thousand', 'nevadan']"
41,1,"['someon', 'say', 'cosmic', 'swashbuckl', 'action']"
42,0,"['matter', 'winter', 'bring', 'butcherbox™', 'make', 'sure', 'highqual', 'meat', 'famili', 'onc', '’', 'member', 'alway', 'seat', 'tabl', 'sign', 'today', 'get', 'everyth', 'need', 'deliv', 'directli', 'doorstep']"
43,1,"['updat', 'releas']"
44,0,"['new', 'quiet', 'book', 'kid', 'usa', 'kitibook', '10', 'month', '6', 'year', 'fine', 'motor', 'skill', 'develop', 'mani', 'activ', 'kid', 'make', 'kitibook', 'wwwkitibookcom']"
45,1,"['black', 'histori', 'month', 'kid', 'learn', 'import', 'contribut', 'black', 'peopl', 'histori', 'gain', 'new', 'skill', 'tour', 'import', 'histor', 'landmark', 'home', 'fun', 'social', 'live', 'onlin', 'black', 'histori', 'class', 'join', 'explor', 'contin', 'africa', 'use', 'african', 'fairi', 'tale', 'folktal', 'guid', 'thi', 'class', 'well', 'hear', 'tale', 'ghana', 'well', 'act', 'scene', 'tale', 'learn', 'african', 'geographi', 'cultur', 'along', 'way', '…']"
46,0,"['turn', 'ani', 'blanket', 'tradit', 'vike', 'style', 'cloak', 'get', 'httpsbitly2pslw0h']"
47,0,"['stand', 'crowd', 'free', 'customiz', 'websit', 'adob', 'portfolio']"
48,1,"['endors', 'oc', 'profession', 'firefight', 'balanc', 'budget', 'without', 'rais', 'tax', 'maintain', 'qualiti', 'school', 'keep', 'irvin', 'safest', 'citi', 'america', 'vote', 'carri', 'omalley', 'irvin', 'citi', 'council', 'nov', '6']"
49,1,"['jalen', 'ha', 'prek', 'year', 'half', 'jalen', 'speech', 'delayand', 'year', 'half', 'went', 'talk', 'quiet', 'amaz', 'melissa']"
50,1,"['watch', 'thi', 'short', 'video', 'learn', 'measur', 'c', 'culver', 'citi', 'neighborhood', 'safeti', 'citi', 'servic', 'protect', 'sale', 'tax', 'also', 'visit', 'wwwmeasurecorg', 'inform', 'novemb', '6', 'culver', 'citi', 'resid', 'abl', 'vote', 'measur', 'c', 'quarterc', 'sale', 'tax', 'rais', 'approxim', '5', 'million', 'annual', 'citi', 'gener', 'fund', 'approv', '100', 'measur', 'c', 'fund', 'would', 'use', 'maintain', 'current', 'level', 'public', 'safeti', 'effortsinclud', '911', 'emerg', 'respons', 'firefight', 'polic', 'offic', 'paramedicsand', 'fund', 'citi', 'servic', 'school', 'youth', 'program', 'senior', 'servic', 'street', 'repair']"
51,0,"['learn', 'best', 'art', 'entertain', 'give', 'one', 'annual', 'membership', 'get', 'one', 'free', 'offer', 'term', 'appli']"
52,1,"['follow', 'suprem', 'court', 'recent', 'decis', 'gerrymand', 'look', 'back', 'thi', 'post', 'explor', 'effect', 'thi', 'practic', 'ha', 'partisan', 'polit', 'httpswwwcollegesoflawedu0410endinggerrymand']"
53,0,"['biggest', 'sale', 'year', 'live⠀', '⠀', 'shop', 'black', 'friday', 'sale', '40', 'sitewid', 'code', 'monthly40']"
54,0,"['youv', 'made', 'mani', 'memori', 'around', 'world', 'well', 'help', 'rememb', 'thi', 'handmad', 'person', 'keepsak', 'engrav', 'travel', 'token', 'youll', 'abl', 'hold', 'favorit', 'adventur', 'mileston', 'close', 'check', 'charit', 'shop', 'today', 'start', 'collect', 'gift', 'one']"
55,0,"['grab', 'valentin', 'day', 'collect', 'befor', 'gone', 'good', 'handmad', 'sass', 'thi', 'line', 'girl', 'need', '50', 'hour', 'burn', 'time…']"
56,1,"['join', 'us', 'virtual', 'career', 'fair', 'novemb', '17', '18', '300800', 'pm', 'regist', 'nurs', 'licens', 'practic', 'nurs', 'counselor', 'licens', 'licenseelig', 'need', 'sign', 'bonus', 'avail', 'rn', 'counselor', 'interview', 'held', 'via', 'zoom…']"
57,1,"['yemen', 'appeal', 'pocket', 'faminelik', 'condit', 'return', 'yemen', 'children', 'famili', 'starv', 'urgent', 'need', 'support']"
58,0,"['find', 'perfect', 'wig', 'new', 'season', 'perfect', 'human', 'hair', 'glue', 'clip', 'soft', 'touch', 'get', 'wig']"
59,0,"['join', 'one', 'mani', 'session', 'summit', 'includ', 'latest', 'wifi', 'junip', 'bob', 'friday']"
60,1,"['watch', 'dinesh', 'dsouza', 'engag', 'specul', 'progress', 'reason', 'roll', 'floor', 'laugh']"
61,0,"['queen', 'dont', 'afraid', 'rule', 'like', 'king', 'onli', 'coupl', 'left', 'yellow', 'orang', 'red', 'grab', 'top', 'seller', 'messeng', 'jacket', '…']"
62,0,"['elev', 'everyday', 'philosophi', 'work', 'school', 'practic', 'philosophi', '’', 'free', 'introductori', 'cours', 'explor', 'life', '’', 'big', 'question', 'discov', 'calm', 'amongst', 'chao', 'find', 'compani', 'isol', 'refin', 'art', 'live', 'make', 'sens', 'rapidli', 'chang', 'world', 'tool', 'help', 'live', 'life', 'conscious', 'greater', 'happi']"
63,0,"['pick', 'pickl', 'ani', 'pickl']"
64,0,"['get', 'boost', 'support', 'thi', 'strapless', 'frontclosur', 'bra', 'get', 'httpsmangoliftco']"
65,1,"['rohingya', 'refuge', 'arriv', 'bangladesh', 'women', 'children', 'desper', 'need', 'food', 'shelter', 'clean', 'water', 'medic', 'aid', 'donat', 'help', 'us', 'reach', 'famili', 'lifesav', 'essenti']"
66,0,"['onc', 'upon', 'time', 'art', 'critic', 'call', 'hi', 'work', '“', 'braindead', 'cheer', '”', '“', 'meaningless', '”', 'yet', 'hi', 'art', 'continu', 'bring', 'joy', 'thousand', 'peopl', 'across', 'countri', 'ignor', 'critic', '’', 'paint', '2800', 'canvas', '350', 'mural', 'across', 'us', 'ha', 'paint', 'major', 'compani', 'snapchat', 'microsoft', 'pepsi', 'seattl', 'sounder', 'even', 'cirqu', 'du', 'soleil', '’', 'visit', 'seattl', '’', 'probabl', 'seen', 'hi', 'mural', 'blanket', 'home', 'alleyway', 'ot…']"
67,0,"['attent', 'arizona', 'homebuy', '8000', 'payment', 'grant', 'along', '6000', 'close', 'cost', 'assist', 'get', 'home', 'dream', 'let', 'us', 'show', 'help', 'hundr', 'peopl', 'everi', 'year', 'get', 'qualifi', 'purchas', 'first', 'home', 'qualifi', '60', 'second']"
68,0,"['great', 'gift', 'kid', 'grandkid', 'anyon', 'love', 'comic', 'complet', 'graphic', 'adapt', 'bibl', 'ever', 'done', '65', 'receiv', '3', 'hardcov', 'book', 'plu', '59', 'digit', 'bibl', 'comic', 'book', '4999', 'cover', 'genesi', 'revel', '2000', 'page', '10000', 'art', 'panel', 'volum', '1', 'genesi', '2', 'samuel', 'volum', '2', '1', 'king', 'malachi', 'volum', '3', 'matthew', 'revel', '3', 'hard', 'cover', 'graphic', 'novel', 'weigh', '13', 'lb', 'bonu', 'access', 'onlin', 'digit', 'version', 'download']"
69,0,"['save', '85', 'thi', 'bestsel', 'cours', 'thegreatcoursescom', 'limit', 'time', 'onli', 'save', '85', 'go', 'bird', 'north', 'america', 'bird', 'enrich', 'challen']"
70,0,"['explor', 'special', 'offer', '2020', '2021', 'kia', 'crossov', 'suv', 'find', 'incred', 'price', 'amaz', 'featur', 'use', 'top', 'search']"
71,0,"['afterpay', 'avail', 'onlin', 'store', 'shop', 'pay', 'later']"
72,0,"['employe', 'secur', 'wifi', 'network', 'home', 'probabl', 'hacker', 'take', 'advantag', 'help', 'thi', 'littl', 'devic', 'keep', 'compani', 'data', 'safe', '28', 'data', 'breach', '2020', 'far', 'involv', 'small', 'busi', '20', 'breach', 'happen', 'wifi', 'network', '43000', 'averag', 'cost', 'breach', 'small', 'busi', '…']"
73,1,"['eurekafact', 'ha', 'sever', 'paid', 'educ', 'studi', 'come', 'student', 'parent', 'interest', 'pleas', 'take', 'thi', 'brief', 'survey', 'match', 'studi', 'may', 'elig', 'httpowlyhwwo50d7m8z', 'student', 'parent', 'eurekafact', 'paidstudi']"
74,0,"['episod', 'day', 'deal', 'filter', 'life', 'pleas', 'comment', 'like', 'enjoy']"
75,0,"['gear', 'north', 'face', 'free', 'ship', 'return']"
76,0,"['send', 'sherlockian', 'mysteri']"
77,0,"['yoga', 'home', 'ha', 'never', 'fun', 'bulldog', 'onlin', '’', 'cardiofuel', 'class', 'set', 'bangin', '’', 'playlist', 'made', 'level', 'sign', '30day', 'free', 'trial', 'come', 'see', '’']"
78,0,"['see', 'youll', 'discov', 'next', 'subscrib', 'nation', 'geograph', '130', 'year', 'storytel', 'photographi']"
79,1,"['unit', 'voic', 'fellow', 'veteran']"
80,1,"['put', 'patient', 'befor', 'polit', 'join', 'team', 'help', 'protect', 'patient', 'health', 'care', 'choic']"
81,0,"['find', 'gift', 'need', 'miniso', '30', 'select', 'holiday', 'item', 'httpsbitly3msmcl9']"
82,1,"['everyth', 'weve', 'work', 'come', 'final', 'week', 'knock', 'everi', 'door', 'call', 'everi', 'last', 'voter', 'get', 'poll', 'novemb', '6', 'need', 'chip', 'whatev', 'flip', 'thi', 'seat', 'flip', 'hous', 'take', 'countri', 'back', 'donald', 'trump', 'chip', '1099', '50', 'pen', 'gtgt', 'httpsbitly2rpatop', 'chip', '25', '25', 'clipboard', 'gtgt', 'httpsbitly2rpatop', 'chip', '50', '10', 'case', 'water', 'gtgt', 'httpsbitly2rpatop', 'chip', '100', '1500', 'campaign', 'flyer', 'gtgt', 'httpsbitly2rpatop', 'chip', 'gtgt', 'httpsbitly2rpatop']"
83,0,"['readi', 'jumpstart', '2021', 'canaglob', 'proud', 'present', 'industri', '’', 'lead', 'commun', 'entrepreneur', 'dream', 'chaser', 'changemak', 'thi', 'commun', 'likemind', 'individu', 'present', 'opportun', 'curat', 'content', 'industri', 'leader', '…']"
84,1,"['tax', 'day', 'hardli', 'ever', 'day', 'celebr', 'thi', 'april', '17', 'north', 'carolinian', 'reason', 'happi', 'four', 'reason', 'fact', 'break', 'whi', '2018', 'tax', 'day', 'actual', 'day', 'worth', 'celebr']"
85,0,"['dont', 'miss', 'best', 'offer', 'ever', 'save', '30', 'mattress', 'bundl', 'pillow', 'bed', 'happi', 'place', 'await']"
86,1,"['senior', 'system', 'engin', 'big', 'data', 'applyrecruitologycom', 'join', 'govern', 'employe', 'insur', 'compani', 'geico', 'team', 'today']"
87,0,"['check', 'new', 'product', 'today', 'girl', 'design', 'chang', 'order', 'httpsgossbycom5f439638a27dcfitsref18']"
88,0,"['readi', 'bust', 'move', 'open', 'new', 'person', 'check', 'account', 'use', 'debit', 'card', 'get', '400¹']"
89,0,"['extraordinari', 'tea', 'towel', 'youll', 'ever', 'see', 'radicalteatowelcom', 'make', 'tea', 'towel', 'inspir', 'histori', 'great', 'campaign', 'changemak', 'know', 'someon', 'wh']"
90,0,"['approv', 'extend', 'pavlok', '3', 'indiegogo', 'campaign', 'anoth', '24', 'hour', 'chang', 'habit', 'chang', 'life', 'less', 'day', 'left', 'get', 'pavlok', '3', '100', 'click', 'shop', 'today', 'buy', 'get', 'time', 'holiday']"
91,1,"['get', '110000', 'becom', 'egg', 'donor', 'today', 'help', 'build', 'famili', 'earn', 'money', 'school', 'travel', 'futur', 'goal']"
92,0,"['skip', 'contract', 'get', 'flexibl', 'want', 'prepaid', 'mobil', 'target', 'plu', 'save', '5', 'use', 'redcard', 'restrict', 'appli']"
93,1,"['proud', 'earn', 'thi', 'major', 'endors', 'hometown', 'paper', 'lincoln', 'journal', 'star', 'end', 'posit', 'raybould', 'bring', 'tabl', 'much', 'pass', 'encourag', 'voter', 'send', 'raybould', 'washington', 'chip', 'today', 'help', 'get', 'fight', 'nebraska', 'famili', 'senat', 'gtgt', 'httpsbitly2pyoev1']"
94,1,"['clean', 'water', 'case', 'centuri', 'head', 'suprem', 'court', 'thi', 'week']"
95,0,"['appli', 'chanc', 'win', 'free', 'hive', 'hive', 'voiceactiv', 'ondemand', 'soundproof', 'enclosur', 'construct', 'prevent', 'unintent', 'activ', 'smart', 'speaker', 'alexa', 'echo', 'googl', 'home', 'hive', 'also', 'prevent', 'unintend', 'access', 'convers', 'store', 'data', 'file', 'thi', 'insul', 'design', 'address', 'mani', 'privaci', 'secur', 'vulner', 'relat', 'voiceactiv', 'smart', 'speaker', 'devic', '…']"
96,1,"['substitut', 'emissionsfre', 'renew', 'dirti', 'fossil', 'fuel', 'go', 'cleaner', 'air', 'go', 'cleaner', 'water', 'mean', 'reduc', 'rate', 'asthma', 'respiratori', 'ailment', 'also', 'mean', 'lower', 'energi', 'cost', 'famili', 'busi']"
97,1,"['know', 'differ', 'fact', 'fiction', 'duti', 'everi', 'american', 'like', 'agre']"
98,0,"['’', 'truli', 'honor', 'part', 'inaugur', 'poem', 'project', 'academi', 'american', 'poet', 'excit', 'share', 'move', 'uplift', 'student', 'poem', 'profound', 'spirit', 'voic', 'confirm', 'countri', '’', 'youth', 'understand', 'poetri', 'vital', 'way', 'reflect', 'nation', '’', 'past', 'present', 'envis', 'futur', 'share', 'human', 'offer', 'us', 'fresh', 'vision', 'hope', 'heal', 'dure', 'turbul', 'time', 'congratul', 'halli', 'knight', 'mi…']"
99,1,"['everytim', 'attend', 'synbiobeta', 'event', 'learn', 'lot', 'technolog', 'futur', 'biolog', 'also', 'get', 'meet', 'interact', 'mani', 'incred', 'peopl', 'event', 'eben', 'bayer', 'discov', 'synthet', 'biolog', 'compani', 'revolution', 'consum', 'packag', 'good', 'industri', 'brand', 'biolog', 'conference…']"
100,0,"['instant', 'everyth', 'home', 'renter', 'insur', 'coverag', 'second', 'claim', 'paid', 'minut']"
101,1,"['peopl', 'learn', 'randi', 'stori', 'beat', 'paul', 'ryan', '44', '41', 'talk', 'everi', 'voter', 'wi01', 'repeal', 'replac', 'paul', 'ryan', 'donat', 'help', 'us', 'spread', 'word', 'iron', 'stach']"
102,1,"['thi', 'winnabl', 'match', 'paper', 'democrat', 'nononsens', 'colonel', 'versu', 'gaffepron', 'cowboy', 'keranew', 'httpssecureactbluecomcontributepagekimolson4txag', 'chip', '5', 'today', 'let', 'final', 'get', 'rid', 'sid']"
103,0,"['wear', 'strength', 'boldli', 'proudli', 'thi', 'stength', 'elefant', 'galaxi', 'crystal', 'necklac', 'gift', 'set', 'galaxi', 'gemston', 'make', 'thi', 'oneofakind', 'gift', 'like']"
104,1,"['live', 'room', 'coffe', 'shop', 'farm', 'roadsid', 'stop', 'across', 'montana', 'start', 'movement', 'restor', 'digniti', 'problemsolv', 'lone', 'seat', 'congress', 'wa', 'amaz', 'back', 'missoula', 'thi', 'week']"
105,1,"['sign', 'cancervot', 'petit', 'call', 'candid', 'governor', 'new', 'mexico', 'reject', 'campaign', 'contribut', 'big', 'tobacco']"
106,0,"['limit', 'sale', 'zeeloolcom', '‼️', 'limit', 'stock‼️', '5', 'frame', '‼️', 'one', 'account', 'buy', 'onli', 'one', 'pair', 'thx', 'jenniferpixi']"
107,0,"['christma', 'sale', 'start', 'hasslefre', 'relax', 'clean', 'dream', 'becom', 'true', 'allpurpos', 'cleaner', '50', 'today', 'onli', 'get', 'httpsbitly3kncpr']"
108,1,"['fort', 'worth']"
109,0,"['tri', 'get', 'perfect', 'famili', 'photo', 'thi', 'holiday', 'season', 'fun—and', 'challeng', 'cheer', 'new', 'twist', 'holiday', 'make', 'memori', 'last']"
110,0,"['big', 'holiday', 'sale', 'live', 'buy', '1', 'get', '1', 'free', 'use', 'code', 'holiday', '75', 'blue', 'block', 'lens']"
111,1,"['properti', 'tax', 'control', 'current', 'administr', 'ha', 'fail', 'address', 'thi', 'issu', 'click', 'learn', 'team', 'kristwalz', 'reform', 'tax', 'system', 'fair', 'hardwork', 'nebraskan', 'select']"
112,1,"['democrat', 'consult', 'dale', 'emmon', 'former', 'presid', 'american', 'associ', 'polit', 'consult', 'indict', 'campaign', 'financ', 'charg']"
113,0,"['earn', '500', 'per', 'week', 'home']"
114,0,"['regret', 'inform', 'handmad', 'workshop', 'fail', 'surviv', 'thi', 'hard', 'time', 'decid', 'sell', 'rest', 'cloth', 'lower', 'price', 'peopl', 'like', 'style', 'choos', 'favorit', 'product', 'shop', 'httpsbitly3hbgupk', 'worldwid', 'ship']"
115,1,"['ive', 'fought', 'nra', 'talk', 'point', 'two', 'decad', 'congress', 'ill', 'fight', 'go', 'win', 'thi', 'debat', 'use', 'side', 'talk', 'point', 'perfectli', 'lawabid', 'ar15', 'buy', 'gun', 'onlin', 'without', 'background', 'check', 'traffic', 'illeg', 'firearm', 'across', 'state', 'line', 'time', 'chang', 'onlyonecandid', 'ha', 'record', 'thi', 'issu', 'enough', 'nj7', 'nj07', 'resist']"
116,1,"['agre', 'qualiti', 'afford', 'healthcar', 'critic', 'missouri', 'famili', 'agre', 'rais', 'minimum', 'wage', 'defend', 'worker', 'right', 'nobrain', 'whi', 'im', 'honor', 'support', 'dedic', 'public', 'servant', 'st', 'loui', 'communitybecaus', 'understand', 'onli', 'way', 'protect', 'elev', 'famili', 'across', 'state', 'work', 'togeth', 'critic', 'issu', 'like', 'privileg', 'fight', 'alongsid', 'hope', 'youll', 'give', 'chanc', 'continu']"
117,1,"['weve', 'said', 'befor', 'well', 'say', 'brett', 'kavanaugh', 'total', 'disgrac', 'embarrass', 'suprem', 'court', 'american', 'deserv', 'much', 'better', 'luckili', 'democrat', 'took', 'back', 'hous', 'start', 'impeach', 'process', 'collect', 'signatur', 'build', 'massiv', 'movement', 'end', 'kavanaugh', 'career', 'sign', 'name', 'demand', 'congress', 'impeach', 'kavanaugh', 'gtgt']"
118,1,"['never', 'victim', 'crime', 'ask', 'polit', 'parti', 'wa', 'ask', 'exprienc', 'becaus', 'matter', 'check', 'new', 'video', 'whi', 'vote', 'snodgrass', 'novemb', '6th', 'experiencematt', 'votesnodgrass']"
119,1,"['giveaway', 'time', '9th', 'annual', 'heart', 'heel', 'giveaway', 'enter', 'info', 'chanc', 'win', 'grand', 'prize', 'pair', 'louboutin', 'runnerup', 'receiv', 'fitbit', '…']"
120,0,"['heard', 'give', 'away', 'free', 'overnight', 'bag', 'everi', 'blue', 'light', 'glass', 'order', '30th', 'nov']"
121,1,"['breakthrough', 'could', 'fund', 'isntyet', 'differ', 'maker', 'donat', 'could', 'help', 'fund', 'lifesav', 'research']"
122,1,"['elect', 'state', 'rep', 'jessi', 'danielson', 'take', 'fight', 'lower', 'healthcar', 'cost', 'state', 'senat']"
