,ad,neg_emo
66,"how is compostable packaging helping brands and retailers choose better for endconsumers and the planet
betterlivesthroughbetterbusiness",0
67,the nature now camp is a mix of presentations and practical workshops where we deal with both facts concerns hope and action,0
68,watch french president emmanuel macron debate the priorities of frances sixmonth presidency of the council of the eu with parliament members,0
69,when was the last time you considered the environmental impact of your online shopping habits,0
70,"a team of investigators from the rush university medical center in chicago may now have found an effective way of shrink tumours by using inactivated flu vaccines
read the full article published by the medical news today",0
71,in just three months time they likely will be testing the first of a number of potential experimental vaccines against the new sarslike coronavirus that is spreading in china and beyond,0
72,the situation of women in afghanistan has been deteriorating since the taliban takeover parliament members have condemned talibans focus on erasing women from public life and denying their most fundamental rights and call on them to ensure access to education for all afghan women and girls,1
73,"being in the classroom is not just about learning
outofschool children are at greater risk of violence abuse and exploitation
after two years of covid disruptions governments must urgently get every child back into education",1
74,"climate change and biodiversity loss are two sides of the same coin  and finally solutions are emerging to tackle them together while in the past they have been dealt with as independent problems new nature climate solutions have emerged which aim to deal with both issues  reducing emissions while safeguarding ecosystems
now momentum is growing amongst investors to put money into the winwin solutions and help nature help the planet
read more about how they are helping reduce emissions in our bio link",0
75,"studies show that  of all children possess creative genius yet by the time they reach the age of  this number is reduced to just  by the time we are adults just  of us are still in touch with our innate genius potential
sarvas mission is to preserve the creative genius of children into adulthood connect cultures and foster diversity this will result in a flourishing of creative solutions our world so desperately needs
at sarva were turning learners into leaders ready to lead successful lives sustainable businesses and inclusive communities
the future of education starts here",0
76,"climate change the pandemic and unsustainable building materials have greatly impacted the housing market resulting in staggering house prices increased homelessness and a lack of community
thankfully geoship is here to change that our bioceramic domes are
 affordable
 sustainable
 communityoriented
 zero carbon",0
77,gain the essential mindset for the decade of climate action to stand out in the job market as a certified sustainabilitydriven leader,0
78,"you can help rescue bears like clara
she was found in a tiny dirty cage in a restaurant car park surrounded by piles of rubbish noise and car fumes
clara had been suffering here for over a decade likely ripped from her mother as a cub then trafficked into a horrendous life of constant bile extractions
thankfully she was rescued and brought home to our sanctuary in vietnam clara is now safe and no one will ever hurt her again
will you donate today to bring every last bile bear home",1
79,urgent help us help them  animals have arrived in poland alongside two million refugees from the ongoing conflict they were forced to flee their homes to survive our partner organisation toz  society for the prevention of cruelty to animals are doing the impossible to provide immediate help but they are low on funds these animals desperately need your help please donate today,1
80,"this is an 𝗘𝗠𝗘𝗥𝗚𝗘𝗡𝗖𝗬
 please listen to the cries of the ummah
  𝗠𝗜𝗟𝗟𝗜𝗢𝗡 afghans are living on the brink of 𝗙𝗔𝗠𝗜𝗡𝗘
 millions rely solely on humanitarian aid to survive
𝗢𝗻𝗲 𝗨𝗺𝗺𝗮𝗵 are on the ground right now in and around 𝗔𝗳𝗴𝗵𝗮𝗻𝗶𝘀𝘁𝗮𝗻 providing 𝗘𝗺𝗲𝗿𝗴𝗲𝗻𝗰𝘆 𝗔𝗶𝗱 to those who are most in need this ramadan do not forget the multiplied rewards for saving lives and feeding the fasting
𝐃𝐎𝐍𝐀𝐓𝐄 𝐍𝐎𝐖",1
81,"you can make a difference this year donate now and for a limited time your gift will have triple the impact to help millions of scared and abused animals who are suffering in silence right now
your gift makes you a membera valuable part of our mission to help animals who have no voice and need us the most will you help",1
82,"stream now
having won over  international awards birth time the documentary is now available to stream right here anywhere anytime
exploring what it would take for women to emerge from their births feeling innately powerful physically well and emotionally safe
its time for womens needs at birth to be heard itstime",0
83,"dear readers
russian nazis do not stop exterminating the people of ukraine
today russian nazis shelled kharkiv several times including with banned cluster munitions for mlrs it is known about  wounded and five dead including children
we ask you to write call your politicians with a request to immediately increase and speed up the supply of weapons
we are able to protect ourselves and we will do it to the last breath
do not stand aside help us protect our people",1
84,"education risks becoming the greatest divider not the greatest equalizer
covid school closures have compounded challenges for children who were already behind  pushing learning even further out of reach
they need support now",0
85,"shelling killed her mother
without an urgent end to war in ukraine how many more innocent lives will be lost how many more children wounded or traumatized
sixyearold milana is recovering from surgery on her legs at a children is hospital in kyiv after being injured in an attack thanks to dedicated doctors her wounds will heal but the death of her mother will scar her for a lifetime
as unicef delivers lifesaving medical supplies to hospitals across ukraine children need peace now",1
86,"i would like it all to end
platon is distraught like many children after witnessing the horrors of war in ukraine
as unicef ramps up support for children and their families fleeing violence amidst the covid pandemic they need peace now",1
87,"thousands of children throughout the land of israel have been affected and traumatized by brutal terror attacks the shiloh israel childrens fund needs your help to provide cuttingedge therapies to heal children affected by terror
donate today to help the children of israel",1
88,a storm of conflict climate and covid is causing the worst hunger crisis in decades your monthly donation can help us reach children in crisis  wherever and whenever they need us,1
89,a perfect storm of conflict climate and covid has left countries on the brink of famine at times like this we need to act fast donate monthly to help us reach children in crisis  wherever and whenever they need us,1
90,right now millions of children are at risk of starvation  with  in  people worldwide unable to access the food they need donate monthly today to save lives,1
91,as the pandemic rages some of the poorest countries are having to repay debts to private lenders and governments rather than funding vital health and education services  a decision that could worsen economies and devastate childrens futures at the world bank meeting in october governments and companies have an opportunity to agree to debt relief now is the time to make your voice heard,1
92,since our founding in  weve worked tirelessly to provide vulnerable children with lifesaving assistance access to education quality health care and protection from exploitation,0
93,for  days we offer you the opportunity to be active for the planet and those whoprotect it it will start,0
94,"are you interested in environmental crime
for all the latest news on this subject subscribe to the ambitus newsletter
each month find a selection of articles on the newsletter is only available in english at the moment",0
95," weeks of this unnecessary brutal and horrendous times
showing that the biggest world leaders who could stop this war are incapable and just dragging their feet
every dollar counts if you have anything to spare please donate
do not be like them solidarity is more than just pretty word and standing ovations",1
96,"why would you do that it is true water wells will not defend the ummah online  if we do not counteract the islamophobic media industry then who will
enough talking time for some action
allah swt says he will not change the condition of a people until they change what is within themselves
click the button or the link and donate now",0
97,"ukraine needs your support
any donation you provide helps save ukraine and ukrainians",0
98,"help odessa help ukraine
your donations go directly to the dedicated suppliers authorized by the ukranian government",0
99,"the ukrainian troops are now engaged in fierce combats for our freedom our brave guys get wounded and die on the battlefield the international charity organization dim initiated the purchasing of tactical firstaid kits which will help save many lives of our soldiers the fund is also actively buying personal protective equipment sleeping bags thermal underwear and other essentials for our army and territorial defense units
you may also be a part of this lifesaving process each and every penny collected by the fund goes directly to the ukrainian defenders support the ukrainian defenders glory to ukraine glory to the heroes",0
100," orphans were able to successfully evacuate last week and are currently in germany at a refugee center there are still many children arriving at the borders and many are unaccompanied minors the systems in place in these border countries are quickly reaching their capacity to provide quality care
life is working around the clock to provide assistance to the families in need
to help support the people and children of ukraine please visit",0
101,"musicians in ukraine need our help
a few days ago we received the dramatic appeal of an orchestra from ukraine the musicians there are fighting for their lives their country and their freedom they urgently need our help
we support lisa batiashvili and her foundation to provide essential supplies for the musicians and their families in ukraine",0
102,"ukraine  people internally displaced and almost  million people in need of humanitarian aid
please donate today to help us support displaced families with critical aid",0
103,"within a matter of months weve grown from caring for  orphans to caring for  orphans  alhamdulillah
by donating you can make a difference to an orphaned childs life by giving them opportunities for education and providing for basic life essentialsfrom as little as  you can make an immense difference to the lives of orphans around the worldcontribute to our orphan support program today",0
104,"our goals is to be in public more visit children hospitals into more schools
we are also working on getting a supermobile
help superman bring awareness to bullying domestic violence abuse ptsd suicide and addictions
help donate",0
105,"youve given the mothers of lebanons ketermaya camp another chance at survival but now they face a new threat winter
 donate essential supplies and sanitary products to the displaced women of lebanon",1
106,"urgent  save the lives of childhood cancer patients in pakistan
the childhood cancer survival rate in pakistan is low between 
indus hospital  health network ihhn provides quality care free of cost to those in need one donation to indus hospital  health network can
save a life from cancer provide relief for worrying parents allow children to reclaim their childhood
imagine with just a few dollars you can create positive change donate now",1
107,"holidays are about caring would you like to give your loved ones the most meaningful gift ubi donate us to support making universal basic income a reality for all
rather than wait for someone else we can build our own economic systems to support each other and in effect give each other a basic income circles is intended to be a new kind of exchange completely different from any kind of money in use today it comes unconditionally and grows in value based on communities
we need your support to make circles basic income a reality donate now to help us create ubi for all",0
108,sometimes the news can feel overwhelming  but there is something you can do to help this giving week help make good news for refugee and displaced families who are facing freezing conditions during the winter,1
109,"today is givingtuesday there is no greater gift than the gift of health
we see how healthcare in lowincome countries is under even more pressure due to the current pandemic more than ever welltrained health professionals are needed with kit scholarship fund we support health professionals to study a master programme in international or public health by training health professionals at kit we can help reduce the shortage of health workers in lowincome countries and enable these professionals to make a difference in their own country local professionals know best which approaches work in the context of their own country allowing everyone to get access to good quality healthcare
we would like to contribute even more by training more people but this is only possible with your support

if you would like to support a student in their strive for the tangible betterment of global health please visit",0
110,this giving tuesday please watch this video and consider supporting the important work undertaken by the maa trust all of these activities are only possible thanks to the generosity of our supporters every little helps and we are especially grateful to the regular monthly and annual supporters for those interested in supporting a needy child through the scholarship programme please contact,0
111,"breaking moments before being brutally killed for their meat more than  starving terrified dogs have been rescued during a raid of an illegal slaughterhouse in indonesia
the dogs are in desperate need of medical care food and water after being stuffed in sacks on a transport truck for days with their mouths tightly bound shut
please rush a donation to help these dogs and fund our lifesaving work for animals all over the world in need of rescue and protection",1
112,"this is a call for action no dogs left behind needs you we need your support now every penny counts one dollar makes a difference
we need you to donate now",0
113,"donate to incarcerated muslims
we receive numerous requests from incarcerated muslims asking for kufis islamic books and other religious materials so that they may peacefully practice their faith behind bars unfortunately they are a neglected community we at icna csj are doing our utmost to support our brothers and sisters behind bars
will you help us meet the need",1
114,people are suffering from severe hunger we urgently need more donations will you donate to help save lives,1
115,"as gaza is under attack again its one million children are the main victims suffering physical and psychological trauma for  years pcrf has been on the ground providing direct humanitarian aid and caring for tens of thousands of gaza is children through treatment abroad sponsorship humanitarian program and projects medical missions and building gaza is first and only pediatric cancer department our gaza orphan sponsorship program provides food and clothing for hundreds of kids who lost parents to war and disease
donate to our urgent gaza relief fund below",1
116,"hundreds have been killed and scores more inflicted with life changing injuries homes have been destroyed and families torn apart in heart breaking fashion life here has never been more difficult
our team and partner are on the ground providing critical support to those left homeless and in emergency shelters
please donate whatever you can today",1
117,"gaza is crying out for help
hundreds have been killed and scores more inflicted with life changing injuries homes have been destroyed and families torn apart in heart breaking fashion life here has never been more difficult
our team and partner are on the ground providing critical support to those left homeless and in emergency shelters
this project is zakat eligible please donate whatever you can today",1
118,president toomas hendrik ilves is the honourary chair of the keskus international estonian centre capital campaign please join him in supporting a home for estonians worldwide to donate please visit,0
119,"blood donation saves lives
this cannot be said enough times
if you can please donate blood and share this story to raise awareness",0
120,"over  palestinians have been forced left their homes in gaza
it has left  of water in gaza undrinkable leaves homes clinics and schools with power cuts of up to  hours
 of gazas most fertile land and  of its fishing waters are inaccessible because of the blockade
water is scarce and when its available its polluted and farmers have had to abandon many popular crops which require large amounts of clean water
our partners and our team are on the ground in the gaza strip delivering food water and life saving aid right now",1
121,"palestine emergency appeal  palestinians including  children have been killed by israeli air strikes
we have released emergency funding to provide the drugs and medical disposables desperately needed by palestinian hospitals and emergency services in gaza and east jerusalem
donate to help ensure hospitals have the medical resources they need",1
122,let us build cameroon wake up cameroonians and friends of cameroon it is time to build our nation together let us make our desire and dream to become real for us our children and the next generation to come lets this country shine get involveddonate for noso  funded hey we have rai,0
123,we know how challenging it can be to find the money and time for school that is why we made it our mission to open the gates to higher education by eliminating barriers with a tuitionfree flexible online university,0
124,every day individuals and families struggle to make ends meet between the high cost of living inflation and the low supply chain communities are facing significant financial burdens,1
125,from west africa to eastern europe young peoples lives are on the line  innocent children are killed or injured in conflicts everyday this is wrong we must take action,1
126,"we raise funds and humanitarian aid abroad make purchases and hand them over to ukrainian defenders and victims of russian aggression
we ask you to support the fund to help the defenders of ukraine and people affected by the war
you can make a contribution using the form on the site choosing a convenient option in uah dollars euros cryptocurrency",1
127,"there are more than  billion bullets in the world thats  bullets for every person  including children
this cannot go on",1
128," million people fled from their homes last year that is the highest number since world war 
we cant forget them we must help them",1
129,we are facing an epidemic of violence from an out of control criminal element support senator jay morris antiviolent crime bill to hold the system accountable and keep repeat violent offenders in jail,1
130,"leaving everything behind people
are fleeing conflict in ukraine
they need shelter food and water",1
131,"climate change anxiety
climate emergency fund supports  of the most effective organizations globally that are turning anxiety into action",1
132, could pay for  doses of therapeutic milk to help young children recover from lifethreatening hunger,1
133,as communities across the horn of africa struggle through another severe drought millions of children are suffering from lifethreatening malnutrition action against hunger is helping families prepare for the worst but as the rains continue to fail your help is needed now,1
134,because of covid hundreds of millions more people are suffering from hunger help turn the tide with a gift today,1
135,"take action caught in brutal steel traps in the wild or anally electrocuted after a miserable life of extreme confinement on a fur factory farm  million animals suffer and die each year to supply fur to the fashion industry
animals need their fur more than we do please sign now to help ban fur in the fashion industry and save millions of animals from suffering",1
136,"take action over  million animals suffer excruciating pain due to cruel trapping devices in the us each year our undercover investigation exposes a horrifying reality for innocent animals these inhumane traps cause unimaginable suffering for animals in their final hours
these traps do not discriminate and have the potential to harm our pets and protected wildlife too sign now and say no to the use of cruel trapping devices
source video evidence obtained during an undercover trapping investigation with born free usa in july ",1
137,conflict in ukraine has contributed to global food prices skyrocketing and severe shortages millions of children are suffering extreme hunger with families resorting to desperate measures to survive donate now and you could help provide food to families affected by this crisis,1
138,"americans are suffering from the worst inflation crisis in generations and the proact stands to make matters worse
georgia workers are counting on you to defend them by opposing the pro act",1
139,"hardworking georgians cant afford to pay up to  per year in union dues
with georgians suffering from the inflation crisis the last thing we need is to add new expenses on families its time to take action and say no to the proact",1
140,"we fear that in the next few years jacobabad will not be able to house humans and animals
read more from rahmat tunio in",1
141,"the fear and uncertainty of not having a safe place to eat study and sleep takes a huge toll on a child and right now there are thousands of children like angel enduring this misery a whole generation of children are being denied their right to a safe home  and it has to change
you can make that change happen by leaving a gift to shelter in your will  and we can help you do it for free find out more now",1
142,touching someone when they dont want you to can cause fear alarm and distress its sexual harassment and its not ok dont make this a place of fear,1
143,the word only is too often used to justify inappropriate actions and dilute womens genuine fears its time to challenge the excuses and change the narrative,1
144,tragedy in texas a cruel decision by mnps sharkcano in the pacific and mark is three favorite things in italyhear it all on this episode of decaf,1
145,anxiety  stress can be a vicious cycle  when anxiety hits it can be like a ton of bricks giving you that feeling of impending doom and fear anxiety itself can cause less sleep more agitation and reduced cognition which can in turn create more anxiety,1
146,"more than  out of  amazon workers report anxiety more than  out of  report feeling depressed more than  out of  experience panic attacks
it is simple they do their jobs well and deserve to have a workplace that doesnt overwork them so much their mental health is at risk
do you agree add your name to support amazon workers today",1
147,"anxiety disruptive protest and climate action
feeling anxious about climate here are suggestions perspectives and research from a psychologistactivist want to take effective climate action check out this post",1
148,"across the board mental health problems such as depression anxiety and posttraumatic stress disorder put youth at risk for suicidal thoughts and attempts
but many african american children and adolescents face additional challenges including exposure to violence and racial discrimination that may further increase their risk says sherry molock phd associate professor of psychology at the george washington university in the district of columbia and a member of the working group",1
149,"are you a victim of labour exploitation
illegal brokering and exploitation of workers in agriculture may be stopped situations at risk may be unveiled through the collaboration between workers farms citizens and institutions the tollfree number    is active dedicated to those who want to report situations of illegal hiring undeclared work and exploitation in agriculture",1
150,"how would you feel if you donated money to help victims cancer patients and animals to later found out that more than  of the funds donated did not go toward helping the victim the cancer patient or the animal
sadly this is happening all over america today they are large organizations with several branches bearing the same corrupt fruit its a real ponzi scheme and these people who do this are engaging in criminal activity they prey on the hearts of the american people they set up campaigns telling you they have lawyers and groups who can help the voiceless all lies
many of these organizations are in fact up on the hill claiming to lobby against this when in reality they are perpetuating the problem they are actually behind the greedy evil schemes of abuse disease and the death of life in fact in some ofthe worst cases less than a penny of every dollar that is donated is ever given to the voiceless victim or to even stop the cycle
right now there are thousands and thousands of nonprofits and charities in the united states these corrupt trees bearing rotten fruit are destroying the integrity of america and the moral obligation to do what is right
let us look at the wild horse and burro situation
many large and small nonprofits are perpetuating the path of pesticides abuse and death alongside the bureau of land management conspiracy to defraud the united states of america
they advertise they campaign they lobby they claim they will protect the animals and speak on their behalf to help the cycle of evil end
everything is not as it seems 
these claimed advocacy groups share the pain and the horror all over social media with a donate button you then cry and feel heartbroken by the sadness the pain and the death the animals face and rightfully so but understand this the predator knows this they know you will pull out your wallet and give your money to them yet nothing changes the cycle of abuse and pain continues today in fact it is worse
look at all the years of this happening and look at the cycle continue and now many nonprofits are millionaires and the animals die contracts awarded to poison them with epa labeled pesticides awarded money to adopt sanctuary schemes kill pen cycle schemes slaughter pipeline trafficking death etc
if you truly care please stop giving to the nonprofits they are a chain of disgrace and they perpetuate the cycle of death",1
151,anyone can be a victim of drunk and drugged driving  even you help end this violent crime for all of us,1
152,while russia is stealing tons of ukrainian grain blocking access to ukrainian ports and provoking a food crisis russian propaganda blames the west for a future famine check our live updates on russian disinformation warfare to know the true information,1
153,"ukraininan children keep dying  dead  injured russian forces are killing children civilians  destroying cities 
but you can help ask your elected officials to save children in ukraine",1
154,"a firedup fred hahn shares why we endorsed the full slate of ndp candidates this election
friends we are at a critical moment in our provinces history we can continue to go down the road of cuts chaos and confusion  or we can protect and expand the public services people depend on
cupe ontario members at our last convention voted the choice is clear we deserve a government that will invest in our public services make the wealthy pay their fair share strengthen workers rights raise wages and tackle the cost of living and fight inequality and the climate crisis
and that means voting in our collective interests  it means voting for the ndp",1
155,a healthy ocean can combat the climate crisis but fragile ecosystems are being damaged every day lets restore ocean health,1
156,why do they always suggest crime and violence as solutions,1
157,this will be a tough winter with no income to afford medical treatment your taxdeductible donation is the only hope for many refugees during the crisis,1
158,we are facing an epidemic of violence from an out of control criminal element support jay morris antiviolent crime bill to hold the system accountable and keep repeat violent offenders in jail,1
159,"we love maths and learning times tables but the governments new highpressure test is designed to judge schools not help learning
try the test for yourself",0
