ad,authority
hear from the office of tourism and international marketing and sales on how they are promoting travel to louisiana in canada mexico the uk and germany learn how international tourism is making a positive impact in louisiana,1
how can we listen talk and act meaningfully about the  a great opportunity to hear and interact with leaders and professionals in the field find out more,1
more and more data indicate that women are underrepresented in decisionmaking positions and at the highest levels of academia eu researchers have designed tools to help eu public bodies research organisations and higher education institutions solve the gender gap in science discover more in march’s monthly focus,1
"to overcome the gender pay gap in tech we need action
after 1500 happy attendees last year we are gathering negotiation experts and inspirational women in the tech industry for this new exclusive and free virtual bootcamp
assess your value on the market the state of salaries and the gender pay gap in european tech
get prepared for your upcoming salary negotiation sit down don’t be humble how to rock your annual performance review
 learn how to overcome common obstacles during negotiation with yasmine guérin",1
"the number of outofschool children in south africa tripled during the covid19 pandemic
when classrooms are closed students miss out on more than learning – they miss out on nutritious food time with friends and a safety net",0
"are you an architect urban planner landscape architect interested in urban sustainable development would you like to further your career in this field join our new online executive master in carbon neutral and resilient cities next september
guided by toplevel experts and practioners you will sharpen skills in developing and designing the levers related to all urban systems and to actions aiming to a better resilience towards climate change",1
all parents need help and that’s okay learn how you can strengthen families and help to prevent child abuse and neglect in colorado,0
"as leaders of the cement industry in efficient energy use at cemex we managed to achieve a global fuels substitution rate above 25 in 2020 this means that last year 91 of our cement plants coprocessed 3 million tons of waste as alternative fuels which replaced 16 million tons of coal
one of the cop26 priorities to comply with the 2030agenda is to accelerate the phaseout of coal so by 2030 we aim to increase by 50 the amount of waste and byproducts we capture as alternative fuels and alternative raw materials learn more at",1
"i condemn the russian military aggression against ukraine in the strongest possible terms and express my solidarity with all those suffering and all those killed”
this is how parliament is president roberta metsola opened today is debate in parliament on the eu is response to russia’s invasion of ukraine
taking a strong stance against russia parliament called for tougher sanctions as well as new efforts to grant ukraine eu candidate status
swipe to see what other sanctions parliament is calling for",1
how can catholics in the united states help our ukrainian brothers and sisters suggestions from archbishop  metropolitan borys gudziak of the ukrainian catholic church,1
"“war in ukraine is a crisis for women and girls” according to the un over 35 million refugees have so far fled ukraine and two thirds of them are women and children today parliament will be discussing what support the eu can provide 
 facilitating access to healthcare
 protecting them from violence and sexual exploitation
ensuring housing education and employment
tap the link in bio to find out more",0
ada tech school est la première école de code en europe à la culture féministe et inclusive ouverte à tous les profils 9 mois de formation  1 an dalternance avec une pédagogie unique pour lancer sa carrière dans la tech en toute confiance,0
our data center in odense denmark recycles renewable energy by recovering the heat from the warm air exiting our servers we donate this heat to the local community to warm thousands of homes learn how here,0
it is time for action for the next your arena for ocean solutions we have our sights firmly set on action showcasing who is doing what and how to achieve tangible industry success learn more about new ocean solutions and meet the companies that are taking positive action from 1013 january 2022 in oslo join us at norshipping 2022,0
the advancement of technology brings up constant “innovations” in the areas of misinformation more recently a new form of manipulation called “cheapfakes” has resurfaced register today to join this live public event and learn how you can spot cheapfakes and increase resilience of your mission against such threats,0
your voice matters how can we listen talk and act meaningfully about the  join the online event and make your voice heard,0
"is your city ready to take on the city cancer challenge discover our checklist
it is a useful tool to help you assess your city’s eligibility to join and identify ways you can strengthen your application",0
democrat dr kathleen harder will stand up to the far right to expand and protect reproductive freedom for all,1
"education risks becoming the greatest divider not the greatest equalizer
covid19 school closures have compounded challenges for children who were already behind — pushing learning even further out of reach
they need support now",0
accidentally born alive it is a story you do not usually hear about the melissa ohden story watch here,0
the international forum on transnational white supremacist terrorism twst is held to educate and inform stakeholders including governments institutions and members of the public regarding one of the most pressing and ongoing threats to national safety march 15 2022 marks the 3rd anniversary of the christchurch nz massacre when 52 muslim men women and children were murdered by a terrorist motivated by violent white supremacist ideology,1
are you looking for skills to meet growing climate change and green industry standards ubc forestry is accepting applications for their 8week online climate vulnerability  adaptation cva microcertificate program,0
"the future of trade and globalization conversation with cecilia malmström  the war and the world
ispi presents the war and the world a series on how the war in ukraine changed it all ten keynote speakers in conversation with ispi executive vice president paolo magri
today the second event with cecilia malmström piie and former eu commissioner for trade and home affairs
the entire series will be streamed on ispi is facebook page and youtube channel english only",1
be a part of world climate summit at cop26 a leading forum for business and investmentdriven solutions to climate change,1
"it is antislaveryday2019  we need to talk about tech
the increasing misuse of technology is changing the nature of trafficking  sexual exploitation
we must work together to develop new ways to address it
join our campaign today",0
"9yearold danylo is not only battling cancer but trying to survive through the war in ukraine
fleeing his home twice getting a blood transfusion in a bunker having microsurgery on his lung during the bombing and not knowing if he will get to poland in time for his next chemotherapy – none of it can take away danylo is strength and determination
“i am ready to fight for my life whether it is cancer or war”
children like danylo have no time to lose they need peace now",0
salem leaders are supporting democrat dr kathleen harder for congress because shell fight for a healthier oregon join us,1
"studies show that 98 of all children possess creative genius yet by the time they reach the age of 15 this number is reduced to just 12 by the time we are adults just 2 of us are still in touch with our innate genius potential
sarva’s mission is to preserve the creative genius of children into adulthood connect cultures and foster diversity this will result in a flourishing of creative solutions our world so desperately needs
at sarva we’re turning learners into leaders ready to lead successful lives sustainable businesses and inclusive communities
the future of education starts here",1
get the practical information you need to enhance your professional growth in the telecoms industry register for women in telco forum now,0
"bringing hope and restoration to a community in a dire and desperate situation
kindly look and read through this gallery to learn about the difficult situation of the people at the killarney squatter camp in bulawayo zimbabwe how we are helping them and how we plan to positively transform their dire and desperate situation permanently",0
watch the discussion on global nutrition and food security read more,0
last week during meeting with christian catalini chief economist at the diem association and cocreator of diem we heard about its plans to become a bridge between traditional banking and digital assets since we are all facebook users i think it will be interesting for you to learn more about this issue,1
wfp is preparing an emergency response to help people fleeing the conflict in ukraine share your meal to hel,0
"let us not miss this opportunity
prince albert ii spoke on earth day encouraging the world to see the current crisis as a chance to change our relationship with nature",1
"medshr runs a number of hiv activities that aim to improve awareness around diagnostic and treatment challenges
please do view and join discussions that cover complicated issues such as managing comorbidities treatment adherence and drug resistance",0
it is rare to find an opportunity to earn a financial return while truly supporting an important cause over 30 of greenhouse gas emissions in the united states come from buildings with your support we can attack this massive opportunity,0
how can we all stand united to achieve gender equality across the eu check out this discussion with robert biedroń member of the european parliament and chair of the committee on women’s rights and gender equality,1
"could findings from 27 million years of geological history offer insights into the future effects of climate change
our scientists have charted the history of the greenland ice sheet and its impact on global sea levels for the first time
find out more",1
"new episode  08 feedefficiency 
feedefficiency is one of the hottest topics is cattle breeding right now but how do you actually become more feed efficient as a farmer how do you save feed costs and improve the welfare of your animals
a hightech farmer and a feedefficiency expert will give you latest news on feed efficiency they will tell you all about the new cfit technology and saved feed index — and how these tools can help you breed for a more sustainable future",1
the sixth annual conference of the taihu world cultural forum kicked off in bengbu city of east china is anhui province where officials from all over the world gathered to share insights and views of civilizations between different cultures xinhuasilkroadnews,1
is it feasible to provide healthcare for everyone leading experts will debate this topic at the knowledge summit 2022 which will be held on march 1415 by the mbrf in cooperation with the undp register now,1
there is much more to be done to achieve a more diverse construction industry and today we recognize that we are committed to creating the right conditions for women to thrive and our responsibility in building a more inclusive and sustainable future iwd2022,0
we are live with michaela and valéria founders of sexuálna výchova who talk about the importance of sex education and how this knowledge helps people’s sexual and reproductive health,1
stop dolphin hunts every year over 100000 beautiful intelligent dolphins are killed in hunts across the globe please help us end the cruelty of dolphin hunts,0
how can businesses ‘grow greener’ successfully satisfy customers and employees while avoiding accusations of greenwashing watch to find out,0
"should eu citizens living in a different country be allowed to vote in national elections there
tune in to what rosalie a volunteer with the “voters without borders” citizens’ initiative and other experts have to share on this issue this podcast episode focuses on initiatives strengthening civic engagement in our communities and beyond",1
"the return of the taliban has been a disaster for afghan musicians today performing music in afghanistan means can mean being attacked tortured or even killed
not only can musicians no longer make a living but their very survival is under threat
we have a unique opportunity to help afghan musiciansinexile
we want to film and record performances from musicians living in mashhad  including some of afghanistan is most important folk and classical artists  and pay them for their time
but we need your help to make this happen",0
"what is holding you back
social change starts with you
you now have the rare opportunity to accelerate social change with an entire army backing you
you will learn directly from the top experts in community activism worldrenowned business leaders  humanitarians that have dedicated their entire lives to accelerating global change
tap learn more to get instant access to accelerating change for social impact",1
during conflict it is always the most vulnerable  pregnant women and newborns  who suffer the most help us support them,0
"there’s no time left for promises climate change is already affecting us and getting worse but one solution can help right now protecting forests
thanks to you with our partners weve worked to protect millions of acres of forests over the last 35 years help us do more",0
we are the first innovation hub with the mission of reducing greenhouse gas emissions into the atmosphere our mission reducing 5 million tons of co2eq by helping startups and tech pioneers,0
"ad paid and presented by science foundation ireland and lero  the irish software research centre
“in a sense black women are the most impacted by ai systems … they have the lived experience to notice these problems”
discover the research abeba and her colleagues are doing into how ai can show bias and how personal perspectives are unlockingscience",1
"you can help rescue bears like clara
she was found in a tiny dirty cage in a restaurant car park surrounded by piles of rubbish noise and car fumes
clara had been suffering here for over a decade likely ripped from her mother as a cub then trafficked into a horrendous life of constant bile extractions
thankfully she was rescued and brought home to our sanctuary in vietnam clara is now safe and no one will ever hurt her again
will you donate today to bring every last bile bear home",0
the situation of women in afghanistan has been deteriorating since the taliban takeover parliament members have condemned taliban’s focus on erasing women from public life and denying their most fundamental rights and call on them to ensure access to education for all afghan women and girls,1
"profitez des aides et des nouveaux barèmes depuis le 01042021
a quelles aides pouvezvous prétendre pour vos travaux déconomie dénergie 
bénéficiez dune pompe à chaleur en remplacement de votre chaudière",0
"don’t expect the bitcoin energy debate to die down
those fiercely opposed to the cryptocurrency will continue to highlight its environmental impact without putting the case in context
defenders meanwhile will go to bat for bitcoin like their lives depended on it ultimately the market is the arbiter whether bitcoin is ‘worth it’
debate is not the arbiter of truth
in this debate you’ll have to make your own mind up
if you are interested in engaging in the debate in the global community of digitalists and policy makers we suggest you use reliable facts to make your case
it is perfectly acceptable to come down on either side of the debate but make an informed case
most of all participate and have a voice—and speak for yourself",0
the 2022 virtual verbier art summit programme is out register now and join us online on 11—12 february to debate the urgent ecological theme resource hungry,0
"the covid19 pandemic has raised global income inequality both within and between countries setting back progress by a decade or more vulnerable groups including lowincome people youth women and informal workers have faced particularly severe job and income losses
without a forceful policy response there is a risk that higher inequality will become entrenched support from the global community is essential to expedite a return to an inclusive and sustainable recovery
join world bank managing director mari pangestu  as they discuss the latest findings on inequality from the january 2022 global economic prospects report and implications for countries and the global community",1
"discover our new digital application hyinvest dedicated to hydrogen productionour energy experts have designed hylnvest
 scan green hydrogen investment potential
 assess based on your key criteria
 generate reports with insights to make strategic decisions
 accelerate your energy transition",1
special oline event hosted by cheryl jackson,1
"while we’re all wearing masks please remember to dispose of them properly
find out how covid may also cause problems for the environment",0
"nothing justifies attacks on civilians
as war rages in ukraine healthcare facilities are being targeted injuring and killing patients including pregnant women and children
this unconscionable cruelty must end as families grapple with the double impact of conflict and covid19 they need peace now",0
"43 per cent of students in public schools in liberia have not returned to classrooms since they reopened amidst covid19
preventing children from dropping out of education is critical their futures depend on it",0
a video released by mining injustice powerfully frames the dilemma neskantaga and neighbouring anishinaabe nations face when struggling to uphold their stewardship responsibilities and protect watersheds hear from neskantaga’s chief wayne moonias and tap into vital community knowledge about the ring of fire,0
"save bees and farmers bees are essential to life on earth our biodiversity depends on pollinators and now more than ever our ecosystem is at risk the european commission set a target to reduce the use of pesticides by 50 but this proposed reduction target is currently under attack by the industry
on worldbeeday let’s raise our voices and demand the phaseout of harmful pesticides now
sign the petition",1
"what is the role of young people in defending human rights
what can europe do to support other activists around the world
we discussed this with heidi hautala vicepresident of the european parliament david mcallister chair of the foreign affairs committee
darya navalnaya and leonid volkov representatives of sakharov prize laureate 2021 alexei navalny",1
as climate change continues to snowball and the world’s many sustainability issues continue to mount it is now more important than ever for the personal care industry to take action,0
"sleep is critically important for health if disrupted it can literally make people sick upping the risks for ills such as cardiovascular disease cancer and depression
a good night’s sleep is a luxury for many but poor people and members of racial and ethnic minorities are more likely than others to not get enough
join us for a discussion",0
shopping for clothes sustainably is becoming more popular as the industry continues to create pollution and emissions but in the recent wave of retail greenwashing it can be hard territory to navigate here are the basics to spending your way to sustainability,0
"urgently support the ukrainian army fundraising to help the
territorial defense of ukraine all money will go to medicines
food clothing to the mykolaiv military territorial defense and hospitals",0
the cop26 summit in glasgow is about to kick off and well be on the ground with a delegation of activists to critically evaluate the negotiations and push for a more just outcome follow our dossier on the summit to keep up with the latest,1
"racism is danger to life…it is a threat to survival it’s a threat to safety”  shelly harrell phd
as a mental health practitioner you may already know the devastating toll that racism takes on your clients of color
and if we don’t have racially informed strategies in our toolkit the trauma treatment we provide might end up doing more harm than good
that’s why it’s essential that we take action to fill in the gaps of our traditional training  so that we never find ourselves unprepared when stories of racial stress and trauma come up
if you’re ready to take action to become an even better practitioner join us for our 4part free master series where 19 of the top experts in the trauma of racism come together to give you the most effective strategies to help clients of color heal from racial traumacheck it out",1
"dear readers
russian nazis do not stop exterminating the people of ukraine
today russian nazis shelled kharkiv several times including with banned cluster munitions for mlrs it is known about 13 wounded and five dead including children
we ask you to write call your politicians with a request to immediately increase and speed up the supply of weapons
we are able to protect ourselves and we will do it to the last breath
do not stand aside help us protect our people",0
we appeal to our friends from other countries peaceful ukrainians are being killed by putin is army show photos and videos to your friends tell about putin is crimes against the peaceful people of ukraine come out to the square support us we need help stopputin helpukraine,0
"russia is trying to turn ukraine into syria and their tactics are similar to those they used in syria but we must not let them create syria in europe
please help spread the word
so much appreciated for your support",0
"stand with the people of ukraine as we defend
ourselves from russian aggression now accepting
cryptocurrency donations bitcoin ethereum and
usdt",0
artificial intelligence presents enormous opportunities for people and business but is the eu ready to become a global competitor in the field while setting global standards parliament member axel voss answers your questions,1
"can a more digital corn production be more sustainable we believe it can be thanks to our new smart corn system transforming agriculture for a sustainable future
learn more about or smart corn system",0
"do you want to know how fashion students would change fashion education to make it more inclusive we will be sharing their suggestions in 3 parts in part 3 they go after the unlearning
all “bubble quotes” come from berlinbased fashion students",1
today alexei navalny was awarded the 2021 sakharov prize for freedom of thought we spoke with leonid volkov one of his political advisors watch the interview,1
"why would you do thatit is true water wells would not defend the ummah online
if we do not counteract the islamophobic media industry then who will
enough talkingtime for some action",0
"i can’t negotiate a better salary right now i should just be grateful i have a job right wrong
men are making almost 20 more money than you every year why well… patriarchy but it’s also because women don’t tend to negotiate their salaries according to research only 7 of women actively negotiate their job offers
so what’s stopping us ladies it is time to negiciate your worth",1
on this year is international women is day we continue our resolve to build a world that is inclusive diverse and equitable our society has made steady progress in levelling the playing field for women in the workplace but gender disparity persists research by the who found that 70 of the global healthcare workers are women yet they take up only 30 of senior positions in the industry so let us all come together on this special day with one goal and spirit to breakthebias and empower more women to take leadership roles doing so we can create a brighter and more hopeful future for generations to come it is up to each and every one of us to aspire to reach out and support more women to break the glass ceiling,1
"dans la tech 1 femme sur 3 se sent bloquée dans son job actuel
envie de passer un cap dans votre carrière 
participez à notre job fair et rencontrez des entreprises de la tech engagées sur la diversité",0
"while nuclear energy produces 10 of global electricity it also generates a lot of dangerous waste the problem is that we don’t yet know how to completely neutralize its toxicity
for the moment it’s usually treated to prevent radiation from escaping then stored in ultraprotected sites
but what will happen in a few years when these sites are full",0
"in this free 4part master series 19 of the top experts in the trauma of racism come together to give you the most effective strategies to help clients of color heal from racial trauma
check it out",1
"it takes courage to take control of our life and make womenshealth a priority it might also be hard to have a conversation about a sexually transmitted infection such as human papillomavirus hpv
but overcoming the stigma and talking about hpv as a risk factor for cervicalcancer could give answers about screening options to prevent cancer from developing this downloadable pocket guide is a handy resource to help prepare questions before a wellwoman exam congratulations on taking the first step",0
experts from waseda university are advising japan on how to reduce the country’s emissions,1
"a team of investigators from the rush university medical center in chicago may now have found an effective way of shrink tumours by using inactivated flu vaccines
read the full article published by",1
"you should recycle your jeansin the 4th episode of behind the scenes’ second podcast season and hear why our guest ann runnel from estonia created reverse resources rr a business for tracking and trading textile waste across the whole supply chain
rr’s pioneering approach earned it the 2016 global change award ann has also been a member of the board of the eu mission adaptation to climate change
ann tells our journalist jennifer baker that her interest in textiles was never about the aesthetics or fashion side but more focused on textile waste how clothes are produced and how to improve material flows and achieve a more efficient circular economy – a closedloop economic model that keeps valuable natural resources in productive use longer
get to know ann more by clicking the link below",1
the majority of parents want their children to do what they love however many young adults are lost with the vast majority of opportunities available,0
