ads,consensus
according to public records you voted in both  and  keep it up vote nov,0
elise stefanik is playing partisan games instead of getting things done for northern new yorkers join our movement for change by making a contribution today,0
if you are a homeowner in utah and paying over month for electricity you better read this before paying another electricity bill httpwwwfreshlivingdailycomutah,0
colorado is our best shot at flipping a seat amp restoring a democratic senate majority add your name to defeat cory gardner,1
tell rep cathy mcmorris rodgers to take up the senatepassed commonsense regulation bill and support main street over wall street the legislation repeals unnecessary red tape and provides commonsense reforms for washington is small businesses credit unions and other local financial institutions the bill will boost economic activity across the state while maintaining regulations for wall street,1
president presses gm ceo to stop producing in china and quickly replace ohio factory tagged for closure,0
both the senate and the house have unanimously passed a bipartisan postcharlottesville resolution for president trump is signature that denounces the klan and white supremacy add your name to the call for him to sign the resolution amp do his job as president to reject white supremacy and keep americans safe from domestic terrorists,1
a radical change in our attitude toward business is needed if we want local merchants to survive beyond coronavirus and keep our city from spiraling into irrelevance small businesses were going extinct in san francisco long before the pandemic turned everything upside down city hall is excessive fees regulations and bureaucracy are to blame,1
"we are living in a strange time and the corona pandemic will probably redefine our outlook on life what is important our priorities what we strive for and want to achieve
i hope that a core value grows stronger both in us as individuals and at the societal level compassion
even though sweden has been hit hard by corona there are countries that are hit infinitely harder where already poor people are now thrown into even deeper poverty and exclusion in some of those countries heart to heart works
it is time to show compassion to open our hearts to vulnerable children and families in albania bulgaria latvia and romania
help us by donating a gift that goes to the purchase of
disinfectants and protective equipment
simpler telephones and tablets so that the children can participate in the distance education
seeds and cultivation tools to increase home cultivation and strengthen families opportunities for food supply
food packages and direct livelihood support for particularly vulnerable people
every penny is incredibly valuable and together we can make a difference for those who are about to lose everything
swisha your gift on    or bg  note the payment pandemic
thank you for your compassion thank you for your gift thank you for sharing this post so more people can open their hearts
mikael joume
director
heartheart aid humanity openeditheart corona covid pandemic",1
yesterday i had a conversation with a facebook rep she said that for more people to see my posts they have to engage with them i asked how can they engage with them if they do not see them is not this a classic catch she laughed and admitted it is a catch then went on to suggest i pay a ransom i mean pay to boost my posts i explained that i cannot afford to do so because im a teacher running an educational page not a for profit organization and that if thi  s was the only way to reach my followers i was going to leave the platform her answer well facebook is not for everyone that much is true more and more facebook is just for paid propaganda one more channel where moneyspeech this is the kind of blatantly arrogant and dishonest racket that only a de facto monopoly can get away with i hope they get slapped with an antitrust lawsuit soon please like share amp comment,1
the united nations is the last bastion of idealism rhode island native amp united nations development programme  undp resident coordinator amp humanitarian coordinator in ukraine neal walker emphasizes the un is role in protecting human rights around the world httpbitlytgdb,0
double check your polling place and make sure to vote on election day  tuesday november th,0
food medicines staying in touch if you need help during the covid pandemic state rep anne claflin is here to help,0
proud to announce another endorsement from csea central region   we share a common belief that government can be a force of good in the lives of everyday people you ready for the politics of tomorrow for public leaders with honesty integrity and compassion join me and let us make our voice count on november,1
"mike bloomberg thinks that billionaires dont have to play by the rules this last week he
doctored a video of his debate performance
skirted facebook is political ad rules by buying memes from popular instagram accounts
and paid twitter users to spam the site getting dozens of accounts suspended for violating twitter is rules
im running a different kind of campaign paid for by warren for president means paid for by grassroots donors
if im going to keep pace with selffunders and career politicians with billionaire bundlers im going to need your help before the next primary chip in   or whatever you can spare to power this grassroots movement",1
snap formerly food stamps helps  of montanans struggling to make ends meet put food on the table right now some in congress are trying to cut snap,0
senator scott wilk,0
people have asked me what i will do as supervisor being a republican on a board that has four democrats to which i answer in local elections party does not matter because we are trying to find people that can make sure things get done things like paving our streets plowing our snow keeping our streams clean ensuring the public safety and making decisions that do not make our lives more difficult i see my job as a newly elected supervisor as a thirdparty watchdog i k  now i will need to compromise to achieve what is best for our community i understand that i will not always agree with the direction the majority will take us but i will make sure that we do not waste taxpayer dollars or exacerbate the problems we face i will focus on moving things forward that only municipal government can do such as maintaining what we own including buildings streets storm and sanitary sewers and our parks a prime example of what i will focus on at my first meeting is the community center roof for unexplained reasons and after going over budget and beyond deadlines this board has not addressed the leaking roof on the building it has been four years and since the start of renovations and we have not fixed this problem it has caused damage to the facility and is a significant liability my opponent was on the citizen board that oversees the community center before being appointed supervisor she now is the supervisor liaison to the advisory board she has known about the problems but has not been able to get the roof project completed recently they paid over  and relied on an architect to come up with a plan to redesign the roof the idea was put out to bid and came back at a whopping  million for the repairs knowledgeable residents with roofing experience sounded the alarms that this was too much money and unnecessary instead of getting a second opinion from a commercial roofing company on the plan and cost ms garzillo requested a second opinion from the township public works director now ms garzillo and the board have decided to piece the roof project out and bid each piece separately by doing this the public will not be able to track the price tag easily and it will ultimately result in a more costly roof because of the loss of economies of scale unfortunately this is not the only project in the township that this is occurring but it is indicative of what complacency and a lack of oversight bring to local government,1
let us bring sanity morality and common sense back to washington join me in my fight to  defend american public education  protect medicare medicaid and chip  bring fast affordable internet and highpaying jobs to pennsylvania,1
your voice makes a crucial difference,0
take advantage of bellvis aid and take advantage of your roof by generating free unlimited and  clean electricity,0
resident talks about why she supports tom dubois for reelection to palo alto city council,0
every family needs access to quality affordable childcare join our community of parents educators and childcare providers working to secure our future,0
environmental regulations  slashed public lands  mined big oil profits  through the roof this is what it looks like if big oil wins the senate we need  more donors to give to lcv victory fund before  to help us stop the antienvironment agenda in its tracks donate now gtgt,1
share the gift of hope this christmas season by providing hot meals for neighbors who are hungry and homeless in denver,0
josh hawley would put  of missourians at risk of losing their health care coverage what if that was your son with cancer,0
the total and complete heartbreak of not being able to save them all    on friday sept st at am animal control employees arrived to work at the carsonlos angeles county animal shelter they found two cocker spaniels that had been tied up to the gate of the shelter parking lot both dogs clearly had been outdoor dogs matted dirty  but one dog was emaciated and very weak the municipal animal shelters are not set up to operate as animal hospitals the shelter sent the sickly dog to an outside vet to get a more thorough exam camp cocker rescue had driven more than two hours one way to the carson shelter that same day to meet both dogs and get our name on them so that we could have first chance to get them once their stray hold was up we did not get to meet the sickly cocker because he was already sent out to a private vet later on that day the shelter phoned us to say that the sickly dog had to be euthanized because he was suffering and was in a state of crisis we learned after he had been euthanized that the private vet had said he was flea infested and severely anemic and the only way to save his life would have been a blood transfusion this was crushing news to us because we would have taken him to a specialty hospital to get a blood transfusion and attempted to save his life he was on a stray hold though and legally the shelter was in a grey area if they had released the dog to us that was still on stray hold and we had done major medical treatments on him to save his life the owners could have come forward to claim the dog and we would have been forced to return him that is always a gamble in these situations but we wish that the shelter had thought to call us and give us that option we spoke to one of the supervisors there and asked them to please let all of the staff know that in the future if there is ever a cocker spaniel that they are considering euthanizing due to major medical to please call us asap because we want to have the chance to step in in the shelter is defense they are dealing with situations like this all of the time they are not set up to triage animals like an emergency animal hospital and this shelter is in a more low income area so it is common to see animals turn up at the shelter that are in dire need of medical care the whole thing was heartbreaking absolutely heartbreaking we were able to rescue the other dog and his new name is now pumpkin pumpkin is the dog on the left his friend is the emaciated dog on the right pumpkin is a skittish shy dog and this confirms our hunch that these were someone is backyard dogs that were never socialized or vetted or cared for in any way in honor of pumpkin is friend whom we never met we would like to posthumously honor him by giving him a nice name and including his picture on our calendar for next year we have a rainbow bridge section where he will be featured would you like to make a small donation today in honor of pumpkin is friend and also contribute some name suggestions we will be putting them all in a jar and pulling a name out so he can have the dignity of a name and a place in our calendar to remember him by donations can be made directly here on this special donate link there is a place to enter your name suggestions on that link,1
keep your new year is fitness resolution accomplish something epic in  make a meaningful difference to protect our planet sign up today with team sierra and get free entry into one of our  race events including national park half marathons ironman century ride or even the berlin marathon the funds you raise will make a real difference in protecting our planet for future generations,0
speaking truth to power about climate change the role of archetypal energies dr carroy cuf ferguson phd one of the archetypal energies that i discuss in my awardwinning book evolving the human race game a spiritual and soullinked perspective  is the archetypal energy truth speaking truth to power requires understanding what is so and to authentically face and examine what is so with courage in order to constructively act harmoniously to bring abou  t change and transformation the phenomenon of climate change requires such an approach archetypal energies are higher vibrational energies operating deep within our psyches individually and collectively that lead us when accessed toward our optimal selves and optimal realities we tend to experience them as creative urges overall i have identified twentyfive archetypal energies that can be helpful at individual and collective levels for all aspects of our lives including the phenomenon of climate change i will have more to say about them in relation to climate change and other matters in subsequent articles here i want to briefly reference just a few of them as they relate to climate changeprimarily truth with the supporting archetypal energies understanding courage and harmony note i use familiar terms to evoke a common sense of these higher energiestruth is one of what i call spiritually integrative archetypal energies as is understanding courage is one of what i call foundational archetypal energies while harmony is one of what i call transformational archetypal energies in speaking truth to power on september   a global climate strike was scheduled starting with the global youth climate strike on september   followed by a gathering at the united nations on september st and then on september   greta thunberg did an outstanding job of speaking truth to power at the united nation climate action summit in this context the supporting archetypal energy courage was demonstrated with passion courage is and will continue to be needed and at play as the climate change drama continues to unfold that is we must all find and access the archetypal energy courage within to speak truth to power about this global planetary phenomenon it is noteworthy at this point simply to point out that over the years we the association and i have not been on the sidelines in regard to the global planetary phenomenon of climate change and the critical role that archetypal energies can play for example in june  i wrote an article for ahp perspective titled mother earth speaks change yourself change the world use the archetypal energy harmony as a guide in that article i stated the following in relation to the cosmos we all as human beings live on this tiny planet we call earth a planet that supports and sustains life as we know it there are many different kinds of people plants and animals functioning in harmony with soil air and waterall linked to one another in a complex web of life to form one earth community unfortunately we often take this miracle and ecosystem of life for granted when however we take the ecosystem of life too much for granted mother earth speaks reflecting imbalances and disharmonies when mother earth speaks her message is a simple one it is time for corrective action to make a changechange yourself change the world that truth holds just as much power today in  and beyond as it did then in  it is and can be used as a baseline framework for understanding the phenomenon of climate change and successfully addressing the imbalances and disharmonies we change ourselves by changing how we think about ourselves and in turn we change the world that is if we see ourselves as separate and independent from each other and the planet as a whole we construct that kind of reality at individual and collective levels and if we see ourselves as connected and interdependent beings inhabiting one planet we construct an entirely different kind of reality in essence then when we change how we think about ourselves we also change how we think about and deal with the world we inhabit when the latter form of interdependent thinking is fully embodied as ones truth individually and collectively we know at a core level that in taking care of the planet our climate we are also taking care of ourselves we can thus speak our truth to power about climate change with a sense of inner integrity and knowingness ahp therefore fully supports all efforts to address and rectify the imbalances and disharmonies flowing from climate change in that regard some years ago we the association and i received an invitation for ahp to become an affiliate member of the medical society consortium on climate change and health  it was a nobrainer as we all were instantaneously aware of the interdependent nature of our individual and collective well being and how that interdependence connects us all to the well being of the planet and the future of humanity representing ahp as an affiliate of the consortium i also had the privilege of helping to plan and to attend the most recent consortium annual conference and congressional visits that took place april   in arlington virginia and washington dc it is important to note here that the consortium and its affiliates endorse the global call to action on climate and health and the domestic policy agenda called the u s call to action on climate health and equity a policy action agenda this domestic policy agenda is part of an overall effort to speak truth to power about climate change by many likeminded and awake people and organizations while i reference larger scale efforts above it is important to recognize that in regard to speaking truth to power all efforts regardless of how small or grand matter in the short and long term for sustaining the planet and life as we know it we must all find the courage to speak truth to power until there is global recognition and understanding about the effects of climate change at individual and collective levels with urgent and effective action now balance and harmony may and can become a natural way of being on planet earth see ahpweborg for this blog article with links to other collateral and relevant information,1
justice democrats were recently mentioned on  minutes for recruiting alexandria ocasiocortez to run for office and for our work in helping her win this was made entirely possible by grassroots donors like you we need more fighters like aoc in congress can you chip in today to help us transform america,1
they have had to deal with a civil war and now they have to deal with covid support rohingya refugees this ramadan by donating now donate now at launchgoodcomfeed,0
have thoughts and ideas about the local food system we want your input join us at our up,1
those who have gotten cancer after exposure to roundup have the right to sue monsanto our lawyers know how you can fight back,0
offensive or funny buy  get  free order here snugbeecomtoiletbg the christmas gift they will love,0
california needs a clean energy future,0
time and time again threats of development have been made in coyote valley with some succeeding we want to see coyote valley permanently protected for our wildlife and for our children all we need is your signature,1
the dnc just announced that we need  donors from  states to qualify for the third debates this fall will you support my campaign and be one of them,1
you have probably seen lots of ads about walker stapleton so who is he,0
indivisible is fueling a local grassroots network to defeat the trump agenda you can help them take their fight to every congressional district this year,0
"joe biden is coming to north las vegas join joe and the team on saturday february th for an early vote event at the culinary academy
come show your support for joe biden",0
safe prompt ready to help hartfordhealthcareorg do not ignore signs of a heart attack stroke or other emergent condition,0
it is a common question how do you stay happy when our liberties and freedoms particularly on college campuses are under assault,1
recent advancements in ms treatments are changing the lives of countless patients like amy read about her amazing story,0
black people cant fix racism alone  it requires collective action,0
staying in going out whichever you choose do it in style printed with amp in los angeles free shipping easy returns,0
there are fewer than  hours before the final fec deadline of  after midnight tonight our fundraising numbers will become public heres what that means if we cant meet this goal our eleven conservative opponents will look to how much money weve raised as a measure of our power if we dont appear strong theyll use that to lobby highdollar republican donors and special interest pacs to invest against us we cant let that happen too many people are counting on us to succeed so before the next few hours are up can you dig deep and make a gift of any amount even  makes a big difference,1
it is time to order your  teamtritch yard sign reserve your free sign today and help  flipin   switchtritch,0
breaking the washington post listed the texas senate seat as among the top ten most likely to flip john cornyn is an entrenched incumbent in the pockets of corporate donors who has voted again and again to strip millions of texans of their health care mj hegar will fight for us in the senate but to get there she needs your help mjs not taking any corporate pac money because she answers to texans not the special interests but running a competitive race in texas is not cheap can you donate today to help take back this seat for texas families httpbitlyklvmox,1
get training to stand up for a child is health and education,0
do you think politicians in arizona have done enough for education teachers and our children vote today,0
back in oregon where i grew up we had our share of hippies and hillbillies these were people who thought very differently about the land they lived on but land they each loved just the same these were people who let each other live their lives even when they were different i know it doesnt look like it if you watch tv for very long but its still possible for people to live and let live we can care about issues and we can disagree on those issues and maybe sometim  es just maybe we might even agree on some of them its likely were not gonna agree on the big things but shoot what if we could agree on the simpler things things that often matter quite a bit around town and with the folks i know then thatd be pretty nice thats why im glad to be a member of csa commonsense american is an organization aimed at bringing back the ability for people who often disagree to still work together to pass common sense policy its designed to prevent arguments namecalling and people being labeled thisorthat just for believing what they believe our program allows your voice to be heard in a nonconfrontational way while helping americans be united for legislation that they all agree with currently csa has analyzed the leading policy suggestions that could help prevent surprise medical bills there are several approaches and bills with different priorities for how they solve this problem members of congress are very interested in the feedback from our members to help them decide the best policy to enact you can join in just a few minutes and help express your voice and support your community make your voice heard along with all your neighbors and choose together the commonsense laws that dont need unnecessary hurdles join now jason  oregon resident,1
hey  arizona nonprofit staff we went to hear from you about what working in your organization is like participants will contribute to the largest existing data set on  race in  nonprofits  and will help inform the next round of race to lead reports  racetoleadorg  anyone working at a nonprofit is eligible to participate and the confidential survey only takes  minutes take the survey before august th by visiting bitlyracetoleadsurvey,1
this month a supermajority of oregon lawmakers passed important legislation that requires drug companies to be transparent about price increases click below to send your lawmaker a thank you bitlyrxorthankyou,1
this cnn piece shows the onesided media coverage of alaska is fight to control it is lands and resources not once does it mention the overwhelming majority of alaskan is who support exploration and development in the  area of the coastal plain,1
your gift today to our reach expansion will be matched,0
i am so proud of my daughter kali i cannot believe her first child my nd grandkid is due any day they are two of the many reasons why i fight so hard to protect children join me in the fight vote ross spano for congress,0
are you voting on nov  this is dorothy from miami dorothy will be voting for bill nelson who is running to represent our state in the senate here is why,0
the dnc has announced that candidates need  unique donors to qualify for the fall debates donate  today to help secure amys spot and well send you a free bumper sticker click here to make your donation and claim your sticker httpbitlyzwrcv,1
jeremiah for judge jeremiah for judge sponsored  paid for by the committee to elect jeremiah ray sponsored the committee to elect jeremiah ray   jeremiah for judge sponsored triangledown triangleup like share share it looks like you may be having problems playing this video if so please try restarting your browser close courts and politicians do not mix posted by jeremiah for judge  views jeremiah for judge sponsored like share courts and politicians do not mix jeremiah for judge  views,0
"we all need to get involved to stop the spread of covid
click the link to learn more about how you can help and the resources available to pennsylvanians",1
commonsense gun reform is long overdue and my f rating from the nra shows i have the right ideas to get it done,1
walking home from state of the union,0
by any reasonable measure yesterday was a great day to be a michigan democrat the women leading us for the next four years will do so with grit creativity and a relentless focus on the values of good government inclusion and equality i cannot wait to see what they will accomplish here in ann arbor there is much to look forward to over the next four years among other advances i expect that we see substantial progress on roads and pedestrian safety the design and in  itiation of major water treatment plant improvements meaningful advances in the treeline a revitalization of the riverfront with the dte project and relentless stormwater improvements throughout the community still it is not all positive our structural financial challenges remain and undercut our ability to provide todays level of service tomorrow our affordable housing crisis worsens and we will continue to suffer increased economic and demographic segregation our inadequate response to climate change persists while we watch other jurisdictions take action to adapt and counteract furthermore our ability to meet those challenges always constrained has taken a hit with the passage of proposal a the likely loss of the m in purchase price means that we dont have m to help leverage hundreds of units of new permanent affordable housing wont have m to pay a debt on the ylot well get by in some fashion but we will endure the real opportunity costs for years to come finally the personalization of policy easy slanders and halftruths or worse that have characterized politics elsewhere have gained more than a foothold in ann arbor we live in a distracted information environment so it is difficult to establish a common understanding of facts and with the degradation of decency it is easy to adopt the national tone here in our home im not truly settled about how to proceed to counteract this shift how to help build a political culture in ann arbor that values courtesy and sanctions casual cruelty its the job of all of us city council and members of the community to address these problems and many others to find practical and sometimes imperfect solutions to meet the problems of an imperfect world while never losing sight of our core values our fundamental faith that ann arbor is for everyone ill do my part,1
urge sen gardner to fight for the program that helps fund co lands before it expires,0
rather carpool or train take our survey to share your opinion,0
deadline dreamers are losing protections now join the fight for a solution for dreamers  sign the petition now,0
i am proud to announce that i have been endorsed by both the anaheim police association and the anaheim firefighters association public safety is my top priority for anaheim hills and i will work tirelessly to keep our community safe thank you to the brave men and women of our police and fire departments who support my candidacy for anaheim city council,0
kathleen clyde will ensure every vote is counted and every voice is heard as ohios secretary of state,0
we can end mitch mcconnells senate majority in  if we win coloradoand we intend to do just that join john hickenloopers team and lets take back this seat,1
washington post debunks common net neutrality myths see which myths got three pinocchos,1
during the biggest global health emergency of our lifetime congress is poised to exclude foreign aid from legislation to address the global impacts of covid a dangerous decision that could put millions of lives in harm is way right now we are looking for  more people to demand that congress include global covid assistance to save lives sign the petition before midnight to tell congress include foreign assistance in response to the covid crisis,1
as district attorney i will strengthen protections for immigrants prosecute sexual harassment and assault and protect our environment to the full extent of the law,0
illinois families need a fighter like daniel didech in springfield he believes in commonsense gun reform and equality for women on november th cast your vote for daniel didech for state representative find your polling place below and make your plan to vote for dan today,1
they deserve our help like our page if you stand with our troops,0
grassroots digital fundraising can help black women build their collective power and create winning movements on their own terms by engaging smalldollar donors you can build a campaign that has the money and the community support it takes to win higher heights has organized this webinar with experts from actblue a nonprofit fundraising platform to teach you the power of smalldollar donors the best practices for starting and running your digital fundraising program and how to give supporters and partners a role in your fundraising join act blue is rach junard for this training,1
please help us thank our americares health workers as they risk their lives to battle this pandemic with their heroic efforts and our generous donors we are helping in the fight against covid you can help all gifts will be doubled that means x the ppe x the needed medicines and x the supplies make your impact and give today to americares americaresorgspringmatch,1
like us today to stop common core amp end federal control over your child is education,1
high hospital costs are a concern for many patients we want to hear from you,1
patagonia grantee buffalo field campaign is working to help list the american bison as a species of conservation concern on national forest lands learn why our national mammal needs further protection and preservation to ensure its future existence,0
when asked about the city beverage tax a majority of philadelphia voters   percent  said they disapprove of mayor kenneys signature achievement and  percent said the tax should be eliminated altogether its time for city council to repeal this beverage tax  axthebevtax,1
over  of people with disabilities are unemployed but many want to work the arc works tirelessly to provide individuals like william with training and job placement and equips companies with the resources they need to be great employers to people with disabilities,0
delegate jennifer carroll foy is leading the charge for paid family and medical leave in virginia show your support today by signing a thank you card,0
questions before you head to the polls for early voting swing by our facebook live qampa session starting at  pm this monday to ask any questions for your hd candidate early voting is now through march nd and election day is march th find out where to vote at,0
hit the like button below to keep up with what is going on in washington and in nj,0
still not registered to vote in california click here to complete your registration in minutes the online registration deadline is october nd you can also register inperson on election day,0
my opponent has no record of creating change shes never passed a budget shes never turned a promise into a policy actions speak louder than words and her record on the issues is silent  notanentryleveljob,0
which  words will you choose everything is on the line vote nov,0
