ad,emotional
"Bruce was born to a single mother who was only 14 at the time he came into this world , the girls mother and father were ashamed of her pregnancy and kicked out of the house.",1
The founder of save the children heard about the family and learned of Bruces story .,1
He came to meet Bruce .,1
Bruce went own to join the save the children foundation after he completed college and is helping save children today.,1
The owner got involved in Bruces life and sav the children went to work and provide food and cloths and school needs for Bruce .,1
Yes he is a force for good and was saved out of tragedy.,1
"I worry about those kids too, so I understand.",1
"It's a shame what's going on, I hope the problem gets rectified soon.",1
"For example,millions of Syrian children have grown up facing the daily threat of violence.",1
"In the first two months of 2018 alone, 1,000 children were reportedly killed or injured in intensifying violence.",1
I cannot even begin to imagine that and clean water should be a basic right to every child on this planet.,1
I'd like to talk to you about children who are less fortunate.,1
Children who suffer from hunger would greatly appreciate a donation,1
"Another example is in Syria over 1,000 children have already been killed this year!",1
Don't you think every child deserves a long and happy life?,1
Think about how much more those poor kids in developing countries needs the money.,1
By not donating this tiny amount you're directly allowing children to sufer.,1
Of course you work for everything you own.,1
By helping Save the Children you will directly be allowing a child to grow up and work for things him or herself rather than living in poverty and possibly not even making it out of childhood.,1
Think about all the stories you hear in the news and on social media about children that need help or have been taken advantage of.,1
"But one thing is for certain, you will feel good about your donation!",1
We should be mad about what is happening to them,1
There are children dying in Syria who can benefit from the donation.,1
Think about all the children in war torn areas and all of the physical and emotional support they need.,1
Its devistating,1
I was just thinking about all the kids going back to school and saw a story about places to drop off school supplies for kids in need,1
Those kids suffer quite a lot and dont really have anyone to help them.,1
"I give a lot of money to the children in need, with pain everywhere they are",1
"Did you know over 1,000 children were killed in Syria in just the first 2 months of 2018.",1
Actually it breaks my heart to see children in pain.,1
There are many kids that still needs help in other parts of the world,1
There are many that lives in war zones with no access to food.,1
I saw a kid die in my hands.,1
Its a shame.,1
Can you think about someone else but yourself?,1
How do you feel about those who were unluckily born to poor circumstances?,1
"It will be difficult, but we are focused in reuniting the children with their family.",1
The separation should never have happened.,1
"that good You knew that for every minute that passes, a child under the age of 5 dies as a result of the war in the Middle East",1
Yes in developing countries lack of educations for childrens in war zone and even if you taken in syria the millions of peoples meet their daily days by violance but we have a great days so we make that happier and healthier,1
Have you heard of children getting separated from their family at the US-Mexico border?,1
Children shouldn't be separated from their families.,1
"It is very heartbreaking to hear, and I'm glad Save the Children stepped in.",1
Just found out there are tons of sick kids right now over seas that need help,1
It is our moral responsibility to help feed the hungry.,1
"We are so lucky to live in a country where there is help available to us such as Medicaid, food banks and other organizations to help us.",1
"It is so unfair that any person in any country can go hungry,",1
I hope that each of us can make a conscious decision to start donating some of our paychecks each week to help children and families around the world.,1
Yes it is truly up to us to help the millions of children in Syria who have grown up only knowing violence,1
Millions of syrian children have grown up facing daily threats of violence this will be a step towards saving children world wide!,1
there are so many wars and so many natural disasters,1
I know the commercials are heart wrenching...seeing all those children suffer and hurting.,1
It breaks my heart.,1
I have a little girl and it only makes me want to do more and more for her.,1
"Oh, I know children did not ask to grow up in these coditions adults have let them down in so many ways",1
So many children die every day due to starvation and acts of violence in these developing countries.,1
These children are not given the same opportunity at education as you and I.,1
Millions of children in the U.S. and around the world still aren't getting what they deserve.,1
"Especially childrens charities, children are so innocent and deserve the best chance at life.",1
"True, but there are so many innocent little children who don't have access to food or clean water, not to mention basic health needs.",1
We are lucky to have help if needed they have no one to turn to.,1
A lot of these children don't have people like you in their community.,1
"There is a lack of support for children in developing countries, especially in war zones.",1
"For instance, millions of Syrian children have grown up facing the daily threat of violence.",1
"In the first two months of 2018 alone, 1,000 children were reportedly killed or injured in intensifying violence.",1
Your small donation can address such problems.,1
Many of these children don't have the same opportunities as others and live in very difficult conditions.,1
"I chose those words because across the United States, one in five children grows up in poverty and, of the counties with the highest poverty rates, 90% are rural.",1
"Because of circumstances beyond their control, millions of kids never reach their full potential.",1
I wish all kids could have that kind of opportunity.,1
"It can help a lot of kids - from the hungry in the US, to the children literally being killed in war zones.",1
It would help so much.,1
Some people are born really well-off.,1
"Some are born not well-off, but they can reasonably expect enough food to eat and a place to live.",1
And there are some who are born so destitute that they can go for several weeks in hunger and/or not have a safe place to live or sleep.,1
How does that make you feel?,1
I have a friend of mine in another country who lost a child today to hunger,1
It's really sad we have the money to just splurge on stuff in our normal every day lives but we can't spend just a few bucks a month or year for the children!,1
some people donate whole their life and time.,1
"In the first two months of 2018, around 1,000 children were killed or injured due to violence there.",1
"Yes without this charity young kids and their families could die of hunger, dehydration, or disease",1
They save children from horrible fates like starvation.,1
No child should ever lose their life for lack of food.,1
"For instance, millions of Syrian children have grown up facing the daily threat of violence.",1
"In the first two months of 2018 alone, 1,000 children were reportedly killed or injured in intensifying violence",1
"Well, lets get specific.",1
Have you seen the kids in Syria?,1
Those kids are growing up in tents and being bombed every day.,1
Still it isn't enough.,1
The kids there are struggling.,1
"True, but there - the kids are lucky to get a meal a day.",1
Save the children helps with that.,1
I am so livid I just can't stand it right now.,1
Parts of this world are so dark...,1
how can we sit here and do nothing?,1
These poor suffering children!,1
Did you know that 5.6 million children die each year due to treatable AND preventable diseases?,1
maybe there are children who may die without this money,1
Being able to support a child is a moral thing to do.,1
These children die from hunger daily.,1
Your donation is making an impact on the children and their families,1
It is I have personally been involved with this charity after finding out that millions of Syrian children have grown up facing the daily threat of violence.,1
"In the first two months of 2018 alone 1,000 children were reportedly killed or injured in intensifying violence",1
For example Syrian kids have died in thousands just in 2018 and Save the children is trying to help as much as they can,1
I remmember a case of a children that lost his oparents at war in Syria.,1
And think of all the kiddies you will be helping!,1
Yes children really need your help.,1
There are children in war zones and under developed countries just begging for help.,1
They help children in war zones.,1
These kids really deserve it :),1
"In comparison, these children need more help than you or I. Fortunate is perspective based but from my perspective, these kids are far less fortunate than I.",1
I loved that they set up shelters that were child friendly because t's so hard for kids to be away from home like that,1
It just so sad to see children from developing countries die from easily preventable deseases,1
million of Syrian children have grown up facing the daily threat of violence.,1
You said you have a kid.,1
Imagine your precious child going through it every day.,1
waking up every day being afraid of getting killed,1
I usually like to focus on charities that help children since I think they are most vulnerable,1
I have a soft heart for children,1
It makes my heart happy how people care about children.,1
It will guarantee many children's safety,1
Children in other countries don't have the advantages that we do such as access to the internet,1
Nearly 5.6 million children die each year due to preventable causes.,1
You have to think about how helpless children can be.,1
"In the first two months of 2018 alone, 1,000 children were reportedly killed or injured in intensifying violence.",1
If we had more help by people like you.,1
These things could be avoided.,1
"The children we help are in desperate need, however.",1
"Did you know that in the first two months of 2018, over 1,000 children were reportedly killed or injured in Syria alone?",1
Kids are dying from hunger every minute.,1
Don't you want to help stop that?,1
There isn't a lot of support for children in developing countries.,1
This should make you mad and want to help.,1
It's really really sad what's going on over there.,1
Those commercials make me so sad!,1
"In the U.S. and around the world, Save the Children does whatever it takes ??Â¸??Â¸ every day and in times of crisis ??Â¸??Â¸ to ensure children grow up healthy, learning and safe.",1
"Learn about the places we work, the challenges children face and the results we achieve, thanks to supporters like me and you.",1
"That is great to hear, but sadly there is not much that that organization can do, as a lot of children in poor countries don't even get the chance to live past the 15 years of age",1
"I could try to persuade you more, but it seems your mind is fairly set in place.",1
"Just remember it's not about doing better for ourselves, it's for the next generations that follow us.",1
But am upset about something I just learned,1
"In the first two months of 2018 alone over 1,000 Syrian children died or were injured due to intensifying violence and war.",1
This makes me so anger and sad!,1
That innocent children are being harmed over something they have no control over!,1
I fell so bad about it also.,1
I hope someday these children will be free from all of this violence,1
"In developing countries like Syria, millions of children have grown up facing the daily threat of violence.",1
I remember seeing ads on the television about it and it breaks my hear to see children so sad and suffering in conditions that they live in.,1
"I haven't personally witnessed experiences first hand, however, it comes down to basic human needs.",1
Vulnerable children in poverty.,1
Denied an education.,1
Forced to flee violence.,1
"Orphaned, abused, abandoned.",1
Children with no reason to smile.,1
No hope for the future.,1
Not as much as the starving children in Syria who don't even have a phone/desktop to do this hit.,1
"I hope you feel guilty for not helping the kids now, because this is just your time.",1
It takes so little money to help feed a starving child.,1
"If you pledge to contribute the reward from this task, that will feed a starving child for a full day!",1
Isn't that amazing?,1
Promoting the right's of children that are suffering.,1
It makes me so sad to know that some children are having a hard time even finding clean water to drink.,1
"Those are things I've just always had, so sometimes I feel guilty that I haven't tried to do more to help others.",1
It is really so heartbreaking when you see all of these kids not having enough to eat.,1
It really breaks the heart.,1
They are so little.,1
I would hate to think a child would die with no food when I could ask people to help.,1
"I could not imagine having to watch any child suffer, much less my own.",1
Millions of Syrian children have grown up facing the daily threat of violence.,1
"In the first two months of 2018 alone, 1000 children were reportedly killed or injured in intensifying violence.",1
"In the first two months of this year, 1000 kids were killed in Syria.",1
Crazy.,1
There are so many relevent issues going on in the world right now its hard to focus on just one.,1
"There are children out there now without access to housing, clean water, education, and many other things we often take for granted.",1
"I understand that everyone cannot commit to making a serious donation, but when we think about children suffering, we have a moral imperative to act in their defense.",1
"OK, I will not force you to make a decision you don't want to.",1
I will just ask you to consider how you would feel if your child was danger like many children are.,1
Right now there are many children who are suffering in the world and they need our help.,1
"Children around the world are threaten by war such as in Syria, by hunger and disease such as in Africa.",1
I feel the same way as you do.,1
It broke my heart to see that famous photograph of a child with a vulture sitting next to it.,1
It made me both angry and sad.,1
"I have always believed that everyone can make a difference, but what was I doing?",1
"Did you know that 16,000 children under the age of 5 die each day?",1
"Most of them die from preventable diseases, too!",1
That horrifies me!,1
"For instance, millions of Syrian children have grown up facing the daily threat of violence.",1
"In the first two months of 2018 alone, 1,000 children were reportedly killed or injured in intensifying violence.",1
"For instance, millions of Syrian children have grown up facing the daily threat of violence.",1
"In the first two months of 2018 alone, 1,000 children were reportedly killed or injured in intensifying violence.",1
The best part is knowing that you can help make a change in a person's life who is currently unable to financially,1
"So many kids out there need a home, after all!",1
"There are so many issues today with children, all over the world!",1
"For instance, did you know that in the first two months of 2018 alone, over 1k children were killed or injured in intensifying violence?",1
I have seen kids dying of hunger in those countries at war.It breaks my heart,1
They are children.They did not ask fot this.,1
Many children in war zones are struggling,1
Giving to Save the Children is one of the world's best investments.,1
Changing children's lives now.,1
Transforming the future we all share.,1
Yes they are everywhere.,1
I saw a kid die in my hands once.,1
It was horrible,1
"Did you know that in the first 2 months of 2018 alone, 1000 kids were killed or injured in the violence happening in Syria?",1
Your donation will help those kids so much.,1
You should feel so good donating,1
In the first 2 months of 2018 alone 1000 children were reportedly killed or injured.,1
Save the Children is an amazing organization.,1
The children were reportedly killed or injured in intensifying violence.,1
Syrian children have grown up facing daily threat of violence.,1
It is so sad that children have to been in the middle of all the hate in the world today.,1
It breaks my heart to see and hear of how bad children have to live and what they go thru each and every single day.,1
this is the most important thing for them and to make some happy ones,1
I know I would feel horrible if any kids in my family/extended family were suffering.,1
It breaks my heart to know that while I have so much freedom there are kids that look at a simple meal as a lifesaving chance.,1
"If only they had parental support, but in war-torn countries like Syria their parents are being killed in wars or are fighting for their country, they have no help and that's why they need your support, please find it in your heart to just give a little bit tonight, that's all I'm asking.",1
Children are being hit with bombs they are looking for help in war zones,1
"Also, when a child is sick, they sometimes don't have the funds for proper healthcare, so unfortunately they die.",1
It's really terrible.,1
"So many children die from hunger, and it's not fair.",1
It's so sad that so many children are dying in developing countries and war zones.,1
It makes me furious.,1
"I head of one child who was in the middle of a war-torn city in Syria, who was cut off from food and water, and died.",1
"In countries like Syria, 1000 children have been killed during the civil war.",1
Isn't that insane?,1
"Adults often can't fend for themselves when there's a crisis, but children are especially vulnerable.",1
Every day I watch the news and hear about victims all over the world and feel kind of powerless.,1
"These children have been victims of war, famine, and poverty.",1
You would be shocked at how many children live in poverty here in the United States.,1
"Can you imagine someone taking your small child away from you and not knowing where they are going, who is going to be caring for them, or if you will ever be able to see them again?",1
"As a mother, that thought is horrifying.",1
I saw a children die once,1
He was hungry with no food.,1
I was serving in Afghanistan,1
why did not you help him?,1
I tried to give him my food but it was too late,1
More than thousands children have died of hunger in Syria this year.,1
We must do something about it,1
They are the future you know...,1
alot of the children are in war zones and facing daily threats of violence.,1
Some of them are basically naked and have nothing.,1
Others have no shoes.,1
"It's really sad, but that's why there are programs out here like us to step in and provide help.",1
"Across the United States, more than 14 million children, or 1 in 5, grow up in poverty.",1
I believe every child deserves the chance to have food in their bellies and an education to be able to help others when they get to adulthood.,1
"Mim, in Bangladesh is 7 years old, and wants to become a teacher.",1
"It could go towards her education, because in her country the average girl only stays in school until 10 years old.",1
"But more likely, it will be going towards meals or daily living expenses, with the average parent from her country only earning $3 a day.",1
"One more meal or a pair of shoes will be one less thing that Mim, and her parents need to worry about.",1
"Bangladesh has been one of the largest parts of that Rohingya refugee exodus from Myanmar that I mentioned before and have been struggling themselves taking on more than 655,000 extra people.",1
This has caused further hardship on an already hardened country.,1
"There is a lack of support for children in developing countries, especially in war zones.",1
"For instance, millions of Syrian children have grown up facing the daily threat of violence.",1
"In the first two months of 2018 alone, 1,000 children were reportedly killed or injured in intensifying violence.",1
The war torn area is just one of many examples of places where kids need support.,1
"Honestly, if you think you're broke you should see how poor these children are.",1
"You know they're worse off than you, right?",1
They have even less than your daughter has.,1
Think about those poor kids.,1
"These children are being used in horrific ways, the food and supplies that are supposed to be going to them are being stolen and we are trying to gather money to ensure the supplies get to these children who really need these supplies and help. With a donation today, not only will we be able to ensure the supply lines safely reach villages, but doctors will also go and help the children with medical care they desperately need.",1
"Look, already in 2018 alone, 1,000 children have been reportedly killed or injured in intensifying violence.",1
They need your help.,1
They need your donation more than you do honestly.,1
What is $2 to you when that money can literally save lives over there?,1
Millions of children in Syria alone face the daily threat of violence.,1
"For example,Syrian children have grown up facing the daily threat of violence.",1
"In the first two months of 2018 alone, 1,000 children were reportedly killed or injured in intensifying violence.",1
"It says on their site that in the first two months of this year alone, 1000 children were killed or injured there",1
I can't imagine what that's like for the parents.,1
reject liberal hate reject phil bredesen gtgtgt watch video ltltlt,1
baby charlie suffers from congenital hydrocephalus which means he was born with too much fluid buildup in his brain please donate to help fund baby charlie is mri and surgery donate here we cannot thank you enough god bless you all,1
senate republicans are convinced trump learned his lesson — but hakeem doesnt buy it for a second neither do the everyday americans who are sick of this administration is lies and broken promises now hakeem wants to hear from you do you think trump learned his lesson take the poll gtgt,1
↠↠↠ betsy devos needs to go sign your name to demand she resign bitlydevosresign first she wanted to gut funding for public schools then she blocked laws designed to protect vulnerable students and now she’s rolling back critical civil rights protections so we need to send her a message she will never forget sign your name to demand betsy devos resign,1
may marks our official centennial we’re celebrating  years of protecting our parks by matching all donations made this month,1
this year governor cuomo championed a law to take guns away from domestic abusers,1
the process of gaining benefits by lobbying policymakers known as rentseeking hurts all of society by diverting resources to unproductive uses excessive cornethanol production is a perfect example,1
theyve had to deal with a civil war and now they have to deal with covid support rohingya refugees this ramadan by donating now donate now at launchgoodcomfeed,1
"you can still obtain an order of protection at the kane county judicial center despite the covid pandemic please watch the video below if you need help protecting yourself or your loved ones
mutual ground community crisis center
kanecounty covid domesticviolence",1
clyde is a dangerous politician trying to buy the election with special interest money,1
give today to help send medical volunteers and lifesaving aid to communities around the world threatened by natural disasters and other health crises,1
warning fentanyl is being mixed into many kinds of illicit drugs making them deadly,1
oregon’s coastlines are under threat trump’s proposed budget eliminated all funding for a major coastal protection program which has been defending our shores for  years we cannot allow our coastline to deteriorate add your name protect oregon’s coastline httpbitlyzmaawy,1
like to agree no one should have to worry about going bankrupt because they can’t afford lifesaving drugs,1
bernie is new pillow will give you nightmares,1
join patagonia grantee  seattle on september th for a regional day of action to draw attention to the threats facing the salish sea and our climate click to find an event near you,1
my opponent has made it clear that he will put his party over north dakota it’s why he voted to end protections for those with preexisting conditions i am proud to have earned the bismarck tribune’s endorsement for always serving the interests of north dakotans not any political party read the full endorsement here bitlyygumj,1
sunday was the world day of remembrance for road traffic victims let is work together to keep our families safe from reckless drivers,1
a new law allows civil claims for child abuse regardless of when abuse occurred,1
the greatest threat to those who hate are efforts to build unity give today for a more welcoming america,1
no judge should ever blame a victim of rape if you agree sign the petition httpbitlyjfxvkz,1
pass gov cuomo is red flag bill allowing teachers parents amp police to get court approval to limit access to guns from those students who pose a violent threat tell nys sen phillips to vote yes,1
a generous donor has established a matching gift campaign which means your gift will be matched x through june  donate now to support hrw is critical work to hold governments accountable and protect atrisk communities amid the covid pandemic,1
santee cooper waste lies abuse of power it is time to get south carolina out of the energy business,1
dinesh d isouza has made his most important movie yet do you have your signed copy,1
daniel hebreard for dupage forest preserve president  why im qualified this is why the job of dupage forest preserve president is made for daniel hebreard watch the new video at for more information please visit wwwdanielhebreardcom,1
trump is tweets are not only absurd but they also violate twitter is stated twitter rules,1
you deserve to be heard when your rights have been violated get an advocate who is  o,1
these two concerns changed james madison’s mind from popular election of the president to election by an electoral college,1
small business owners urge a no on measures  amp   amp  only help big corporations lock permanent tax loopholes into our constitution these misleading measures do nothing for oregon businesses and families  noon  noon,1
still on the fence about electric vehicles evs get better mileage than the most efficient gas guzzlers and are powered with electric from cleaner generation plants union of concerned scientists,1
in the midst of global catastrophe it might seem counterintuitive to pause and acknowledge genocide awareness month this april but we cannot approach painful histories as ones to remember only when times are good stay tuned for these  new pieces of content on the history and contemporary reality of genocide httpowlyjuptzdit,1
"monsanto has been ordered to pay over  billion dollars to victims of roundup
if you we",1
we must not abandon vulnerable rohingya refugees,1
"racism is not getting worse it is getting filmed
will smith",1
colorado state university is conducting a research study examining a natural dietary supplement made from aronia berry,1
illinois ag lisa madigan at the chicago  womensmarch,1
ways cleancult is revolutionizing the industry  zero waste packaging  real amp natural ingredients  effective cleaners   carbon neutral shipping,1
friendship means everything but what if your friend is suffering at home helpafriend covid,1
i have until  pm to raise  if i fail i could lose this one point race for democrats so i’m asking will you rush me,1
limiting the business interest deduction would set a dangerous precedent for all businesse,1
the nsa has repeatedly abused its powers to spy on americans tell congress to reform our surveillance laws now,1
a poor hound dog named sami was thrown out of a car because she wouldnt hunt this is despicable animal abuse and we cant let the perpetrator get away with it sign the petition to demand justice for this innocent animal,1
you can make a difference by donating today urgent action is needed to reach the children who desperately need help now,1
" billion bailout for big corporations
coronavirus unemployment benefits
protections for preexisting conditions
paid sick leave
senator daines is not there for us",1
"every day health care workers are risking their lives to save ours
they are selflessly fulfilling their duties without assurance of protective gear
they are american heroes
thank our health care workers",1
your commute shouldnt include a mad dash to your train join our campaign now,1
miami beach’s iconic pastel artdeco buildings are endangered by global warming,1
partisan bickering a political circus and a lifetime appointment the confirmation process for justice kavanaugh was unacceptable  but with supreme court reforms like term limits we can stop history from repeating itself add your name to demand supreme court reform httpbitlygiscnp,1
happening now the trump administration is rushing to issue permits to big oil threatening pristine lands  which until recently were protected from oil drilling as we speak our public lands are in danger and the damage being caused could have ripple effects for generations stand up to trump add your name to protect our public lands from big oil,1
why would you be against an ethics commission unless you are worried about being found guilty of corruption,1
matching gifts now available if you call it “research” you can get away with murder make,1
for many atrisk youth school is their only place of safety with your help we can creat,1
vote yes on the crime victim rights amendment on november th,1
if we don’t force congress to pass amy klobuchar’s national votebymail bill our plan to save the  general election could fail trump wins we’re racing to launch an emergency expansion of ads to pass a national votebymail system this could fix everything we still need to raise  to keep our ads live can you afford to donate it’s so important we’ll instantly ‑match it,1
as an animal lover you know that dogfighting is torture for every innocent animal that is forced into this blood sport,1
education support professionals esp make minneapolis schools happen when they are forced to work multiple jobs or search for better opportunities our children are denied the education they deserve we can do better sign our petition demanding a fair contract for minneapolis esp,1
call   to tell your senator to override republican veto amp guarantee paid sick days for maryland,1
twofaced ted cruz has done nothing for texas he insults our president republicans deserve better,1
hey animal lovers did you know over  animals are subject to cruelty every year we want you to partner with us to help bring that number down to zero every pin goes towards saving an animal  pins   animal saved to date weve saved  animals because of your help get your free pin today,1
capitalism is based on human greed socialism is based on human need right no wrong so wrong it is exactly backwards,1
students at an atlanta high school took a knee during the national school walkout to protest gun violence after being threatened with “severe punishment” by school officials if they participated in the walkout add your voice and demand congress act on gun control by texting enough to  now,1
join us for a free drivein movie no safe spaces from dennis prager and adam corolla the movie tackles the dangers of the radical left’s attempts to smother others’ right to free speech on college campuses a phenomena that we’ve seen spreading like wildfire into other facets of our country’s culture watch the trailer here,1
when personal safety is at risk to stay or go isnt even a question,1
mcsally voted against the aca but has misleadingly said she is leading the fight to protect preexisting conditions,1
the trump administration is considering eliminating crucial restrictions on trophy hunting we want to save elephants and lions from becoming trophies on a hunter is wall sign your name to demand the government protect these endangered animals,1
tell pres trump amp the senate to reject a ban on your magazines,1
urgent this is the second time this year poachers have killed a critically endangered sumatran elephant our heart breaks for bunta help us save one of the last sumatran elephant strongholds from destruction by palm oil companies,1
extreme confinement is wrong we can stop this cruelty vote yes on prop  for humane treatment of farm animals,1
illinois state rep david mcsweeney rbarrington hills is only growing more frustrated with gov jb pritzker as fallout from the covid pandemic continues to be felt,1
can you imagine not being safe at home during this time can you imagine going hungry because there are no school lunches or daycare while most families are safely staying home olive crest is work for the most vulnerable children must continue,1
depression hurts finding medication for it shouldnt genesight may shorten your road to recovery,1
governor bruce rauner’s campaign is being forced to take down an ad featuring the support of missouri governor eric greitens r after allegations of blackmail emerged wednesday,1
donald trump has broken every promise he ever made to workers he promised to stand up for american workers save american jobs and stop offshoring none of this has even come close to happening we holding trump accountable and we need you with us,1
taylor swift and her attorney are threatening a local blogger with false legal claims because they do not like her commentary we are firing back,1
while lyudmila doesn’t regret taking on the fight the troll slayer is no longer convinced she can win,1
tired of feeling pushed aside when we vote together they have to listen,1
plastic pollution is infiltrating our waterways at an alarming rate take action to end this pollution epidemic by signing our petition now dont worry the photographer removed this bag before the turtle could eat it,1
our cardiac specialists determine your risk—whether hereditary congenital or another fac,1
mallory mcmorrow’s radical government takeover of health care will be a nightmare for oakland county families,1
the diabetes prevention program at uchealth in fort collins helps adults at high risk of developing type diabetes prevent or delay the disease process,1
our state’s most vulnerable students will now have access to school meals this week gov jerry brown signed  ab  a compromise bill between ccsa and assemblymember rob bonta  under this new law all charter schools will provide at least one meal to free or reducedprice meal eligible students  kidsfirst,1
government class action settlement threatens current former mercedes bluetec diesel owners,1
